id	title	current_median	consensus_date	nb	na	confidence	basis	url	stratum_note	flag_off	note
SA_GE07_mbh_09_u	Mahābhārata: Śalyaparvan	257	c. 200 BCE - 100 CE (narrative core / war books, early stratum)	-300	100	medium	John Brockington, The Sanskrit Epics (1998) — whole-epic 400 BCE–400 CE; Hiltebeitel, Rethinking the Mahābhārata (2001) — short chronology ~150 BCE–0 CE	https://en.wikipedia.org/wiki/Mahabharata	Book 9 is one of the four war/battle parvans (Bhīṣma–Drona–Karṇa–Śalya) belonging to the narrative core (the 'Bhārata' battle narrative), the earliest stratum of the epic — distinctly earlier than the late didactic books Śānti (12) and Anuśāsana (13, widely held the latest layer).	True	Battle narrative = core/earliest layer, so median should skew earlier than current 257; long (Brockington 400 BCE–400 CE) vs short (Hiltebeitel ~150 BCE–0) chronology debate, both place the war books in the early core.
SA_GE07_mbh_10_u	Mahābhārata: Sauptikaparvan	224	c. 400 BCE – 200 CE (early battle-narrative core)	-400	200	medium	J. Brockington, The Sanskrit Epics (1998): the battle-narrative books form the earlier core of the MBh, predating the didactic insertions; whole-epic span 400 BCE–400 CE	https://books.google.com/books/about/The_Sanskrit_Epics.html?id=HR-_LK5kl18C	Book 10 (Aśvatthāman's night raid) is part of the central war narrative — the EARLIER core stratum, not a late didactic addition; should be dated earlier than the Śānti/Anuśāsana didactic books.	True	Current median 224 CE places a core battle book in the late didactic range — too late. As early narrative core it centers near 100 BCE–0 CE (Hiltebeitel's compressed core ~150–0 BCE; Brockington's lower bound ~400 BCE). Off by >75y.
SA_GE07_mbh_11_u	Mahābhārata: Strīparvan	227	c. 1st c. BCE – 2nd c. CE (battle-aftermath core/main redaction)	-100	200	medium	Brockington, The Sanskrit Epics (1998); whole-epic consensus c. 400 BCE–400 CE refined by stratum; Spitzer ms parvan-list (2nd–3rd c. CE) attests the narrative books	https://www.ebsco.com/research-starters/literature-and-writing/composition-mahabharata	Core/main narrative layer, not the latest stratum: Strīparvan is the lament/aftermath directly continuing the battle parvans and is included in the early Spitzer parvan-list, unlike the latest didactic layer (Śānti 12, Anuśāsana 13). Earlier than the didactic books, integral to the main redaction.	False	Current range (-300 to 400, med 227) brackets the consensus; no >75y miss. Long (Brockington 400 BCE–400 CE) vs short (Hiltebeitel ~150 BCE–0 CE) chronology debate applies to the whole text; this book sits in the main narrative redaction either way.
SA_GE07_mbh_12_u	Mahābhārata: Śāntiparvan	218	c. 1st c. BCE – 4th c. CE (latest didactic stratum)	-100	400	high	J. Fitzgerald (Chicago MBh transl., Bk 12 Book of Peace, 2004) & J. Brockington, The Sanskrit Epics (1998): the lengthy didactic books are the latest layer; Spitzer MS (c. 100–300 CE) shows the didactic mass still in formation	https://press.uchicago.edu/ucp/books/book/chicago/M/bo238499996.html	Śānti 12 (with Anuśāsana 13) is the LATEST didactic stratum of the epic, a massive brahmanical insertion of governance/dharma/mokṣa teaching grafted onto the post-war frame — far later than the battle-narrative core.	False	Current median 218 correctly places this in the late didactic layer; consensus center ~150 CE, current value within tolerance (<75y). Spitzer MS omitting/thin on the didactic books corroborates a late redaction toward the Gupta period.
SA_GE07_mbh_13_u	Mahābhārata: Anuśāsanaparvan	227	1st-4th c. CE (latest didactic stratum, Book 13)	100	400	high	Brockington, The Sanskrit Epics (Brill 1998); corroborated by the Spitzer MS argument (Anuśāsana absent from the ~200 CE Mbh book-list)	https://en.wikipedia.org/wiki/Mahabharata	The Anuśāsanaparvan is the LATEST layer of the Mbh and the latest of the didactic books (later than Śānti 12). It is absent from the list of Mbh books in the Spitzer manuscript (~200 CE), and the redaction into 18 books is placed in the 3rd-4th c. CE; it post-dates the entire battle-narrative core.	False	Latest didactic stratum; constituted critical text (Dandekar/BORI 1966) belongs to the post-200 CE redaction. Current median 227 sits within the late-stratum band ~100-400 CE, so within ~75y of a stratum-appropriate midpoint (~250 CE). Hiltebeitel's short chronology (~150 BCE-0 CE) would not extend this late; the long chronology is the relevant frame here.
SA_GE07_mbh_14_u	Mahābhārata: Aśvamedhikaparvan	231	1st c. BCE - 3rd c. CE (post-war narrative + didactic Anugītā, Book 14)	-100	300	medium	Brockington, The Sanskrit Epics (Brill 1998); Wikipedia/Ashvamedhika summarizing scholarship on the Anugītā as a later didactic insertion	https://en.wikipedia.org/wiki/Ashvamedhika_Parva	Post-war narrative (Yudhiṣṭhira's horse sacrifice) with the embedded didactic Anugītā (Krishna-Arjuna dialogue), which scholars regard as a later philosophical addition than the surrounding narrative. The parvan is later than the battle core but earlier than the latest didactic parvans (12 Śānti, 13 Anuśāsana). The constituted BORI critical text (Dandekar 1960) excludes the very-late manuscript accretions (e.g. Hall's proposed 16th-17th c. Anugītā material).	True	Mixed stratum: post-war narrative core plus the later didactic Anugītā. A stratum-appropriate midpoint (~100 CE for narrative core with didactic accretion) is >75y earlier than the current median 231 CE, hence flagged, though confidence is medium given the wide band (-100 to 300). Long-vs-short chronology debate does not sharply separate this parvan.
SA_GE07_mbh_15_u	Mahābhārata: Āśramavāsikaparvan	227	c. 1st c. CE – 3rd c. CE (late-narrative closing book of main redaction)	1	300	medium	Brockington, The Sanskrit Epics (1998); Hiltebeitel, Rethinking the Mahābhārata (2001); Spitzer ms parvan-list; whole-epic consensus 400 BCE–400 CE refined by stratum	https://www.ebsco.com/research-starters/literature-and-writing/composition-mahabharata	Post-war closing book (the elders' retirement to the forest and Dhṛtarāṣṭra's death). Part of the main narrative redaction (attested in the early Spitzer parvan-list), relatively late within the narrative core and later than the battle parvans, but earlier than the latest didactic stratum (Śānti/Anuśāsana).	False	Current range (-300 to 400, med 227) brackets the consensus; no >75y miss. Long (Brockington) vs short (Hiltebeitel ~150 BCE–0 CE) chronology debate noted; this closing book belongs to the main redaction in both.
SA_GE07_mbh_16_u	Mahābhārata: Mausalaparvan	227	c. 1st c. CE – 3rd c. CE (late-narrative closing book of main redaction)	1	300	medium	Brockington, The Sanskrit Epics (1998); Hiltebeitel, Rethinking the Mahābhārata (2001); Spitzer ms parvan-list incl. closing books; whole-epic consensus 400 BCE–400 CE refined by stratum	https://en.wikipedia.org/wiki/Mausala_Parva	Closing narrative book (destruction of the Vṛṣṇis, Krishna's death, onset of Kali-yuga) winding down the dynasty after the war. Part of the main redaction (present in the early Spitzer parvan-list), but relatively late within the narrative core and later than the battle parvans; not the latest (didactic) layer. Critical edition is small (~270 vv) with few interpolations.	False	Current range (-300 to 400, med 227) brackets the consensus; no >75y miss. Kali-yuga/Krishna-death framing leans to the later end of the main redaction; still within Brockington's long chronology. Hiltebeitel's short chronology would push earlier (~1st c. BCE/CE).
SA_GE07_mbh_17_u	Mahābhārata: Mahāprasthānikaparvan	189	1st c. BCE - 4th c. CE (late narrative redaction within whole-epic span 400 BCE-400 CE)	-100	400	medium	J. L. Brockington, 'The Sanskrit Epics' (1998); whole-epic consensus ~400 BCE-400 CE; cf. Hiltebeitel, 'Rethinking the Mahābhārata' (2001)	https://en.wikipedia.org/wiki/Mahabharata	Book 17 (the short 3-chapter 'Great Journey') belongs to the post-war closing narrative cluster (Books 14-18), NOT the earliest battle-narrative core and NOT the latest didactic layer (Śānti 12, Anuśāsana 13, the latest stratum). It is a later narrative-frame ending, datable within the redaction reaching present form by the early Gupta period (~400 CE). No book-specific scholarly date exists for this short parvan, so the whole-epic consensus is used, refined as 'late narrative, post-core.'	True	Current median 189 CE is plausibly within range but the consensus span is much wider and centers earlier; long-chronology Brockington 400 BCE-400 CE vs Hiltebeitel's short ~150 BCE-0 CE debate applies to the epic as a whole. Flagged because current median diverges >75y from the consensus midpoint.
SA_GE07_mbh_18_u	Mahābhārata: Svargārohaṇaparvan	215	c. 1st c. BCE – 4th c. CE (concluding frame book, within the late narrative/redactional stratum)	-100	400	medium	J. Brockington, The Sanskrit Epics (1998): whole MBh elaborated continuously 400 BCE–400 CE; concluding frame books belong to the later redactional layering	https://www.britannica.com/topic/Mahabharata	Book 18 is the short concluding 'ascent to heaven' coda of the frame narrative — not the early battle core; it belongs with the later frame/redaction (Yudhiṣṭhira's final test), post-dating the central war books.	False	Current median 215 sits well inside the consensus span; the concluding frame coda is a late element, so a late-centered date is appropriate. Long-vs-short MBh debate (Brockington's broad 400 BCE–400 CE vs Hiltebeitel's compressed ~150 BCE–0 CE) leaves wide bounds.
SA_GE09_ram_01_u	Rāmāyaṇa: 1. Bālakāṇḍa	180	1st c. BCE - 2nd c. CE (late addition, Book 1)	-100	200	high	J. L. Brockington, 'The Sanskrit Epics' (1998) / 'Righteous Rāma' (1985); also Goldman, Princeton Rāmāyaṇa intro	https://en.wikipedia.org/wiki/Ramayana	LATE addition, not part of the original core. Since Jacobi, consensus (Brockington, Goldman) holds Books 2-6 to be the older core (~5th/4th c. BCE); Books 1 (Bālakāṇḍa) and 7 are the latest layer. Brockington assigns both Book 1 and Book 7 to his stage 3, later than the rest of the poem; the Bālakāṇḍa introduces Rāma's divinity/Viṣṇu-avatāra frame absent from the human-hero core.	True	Current median 180 CE sits too late within the stratum; the late-addition layer centers ~1st c. BCE-1st c. CE. Dating the Baroda critical text's Bālakāṇḍa stratum, not an oral ur-epic.
SA_GE09_ram_02_u	Rāmāyaṇa: 2. Ayodhyākāṇḍa	129	5th/4th c. BCE onward, present form by early centuries CE (old core, Book 2)	-400	200	medium	John Brockington, The Sanskrit Epics (1998) — Books 2–6 = stage-2 'original core'; Goldman & Pollock (Princeton Rāmāyaṇa, Vol. 2 Ayodhyākāṇḍa intro): core no later than 5th/6th c. BCE, oldest version ~500 BCE	https://en.wikipedia.org/wiki/Ramayana	Ayodhyākāṇḍa is one of the five central books (2–6) forming the old narrative core, earlier than the framing Bāla (1) and Uttara (7) kāṇḍas (later additions). This is the Baroda CRITICAL EDITION constituted text (Vaidya 1962), so dating reflects the core-stratum constituted text directly.	True	Current median (129 CE) too late for a core book; the core narrative was largely complete in the BCE range and reached present constituted form by the early centuries CE. Consensus midpoint ~100 BCE; off by >75y.
SA_GE09_ram_02su	Rāmāyaṇa: 2. Ayodhyākāṇḍa	97	5th/4th c. BCE onward, present form by early centuries CE (old core, Book 2)	-400	200	medium	John Brockington, The Sanskrit Epics (1998) — Books 2–6 = stage-2 'original core'; Goldman & Pollock (Princeton Rāmāyaṇa, Vol. 2 Ayodhyākāṇḍa intro): core no later than 5th/6th c. BCE, oldest version ~500 BCE	https://en.wikipedia.org/wiki/Ramayana	Ayodhyākāṇḍa is one of the five central books (2–6) forming the old narrative core of Vālmīki's Rāmāyaṇa, demonstrably earlier than the framing Bāla (1) and Uttara (7) kāṇḍas which are 1st c. BCE–3rd c. CE additions. This GRETIL item is the SOUTHERN-RECENSION Ayodhyākāṇḍa (Krishnacharya 1905), not the Baroda critical text, but it transmits the same core stratum.	True	Current median (97 CE) is too late for a core book whose composition centers in the BCE range; core narrative was largely fixed by the early centuries CE. Brockington dates the core stratum ~5th/4th c. BCE; consensus midpoint ~100 BCE.
SA_GE09_ram_03_u	Rāmāyaṇa: 3. Araṇyakāṇḍa	22	5th/4th c. BCE core onward, constituted by ~turn of era (older core, Book 3)	-400	100	high	John Brockington, The Sanskrit Epics (1998); Robert Goldman, Princeton Rāmāyaṇa intro (1984)	https://en.wikipedia.org/wiki/Ramayana	Araṇyakāṇḍa belongs to the older core (Books 2-6); Goldman/Brockington place core composition no later than 6th/5th c. BCE, well before the late additions Books 1 (Bāla) and 7 (Uttara). Core stage runs from ~5th/4th c. BCE with the constituted critical text reaching form by the early centuries CE.	True	Current median (22 CE) sits at the very late end of the core range, skewing too late vs. consensus midpoint (~-150). Core stratum, not a late addition; should be pulled earlier toward the 5th/4th c. BCE core.
SA_GE09_ram_03pu	Rāmāyaṇa: 3. Araṇyakāṇḍa	85	5th/4th c. BCE core onward, constituted by ~turn of era (older core, Book 3)	-400	100	high	John Brockington, The Sanskrit Epics (1998); Robert Goldman, Princeton Rāmāyaṇa intro (1984)	https://en.wikipedia.org/wiki/Ramayana	Same kāṇḍa as ram_03_u (Araṇyakāṇḍa), part of the older core Books 2-6. Predates the late Books 1 and 7. Core composition ~5th/4th c. BCE onward per Goldman (omission of Buddhism/Magadha) and Brockington.	True	Current median (85 CE) is well into the early CE, ~235y later than the consensus core midpoint (~-150). Core stratum; correction earlier toward the 5th/4th c. BCE.
SA_GE09_ram_04_u	Rāmāyaṇa: 4. Kiṣkindhākāṇḍa	93	5th/4th c. BCE core onward, constituted by ~turn of era (older core, Book 4)	-400	100	high	John Brockington, The Sanskrit Epics (1998); Robert Goldman, Princeton Rāmāyaṇa intro (1984)	https://en.wikipedia.org/wiki/Ramayana	Kiṣkindhākāṇḍa is part of the older core (Books 2-6), the apparently old layer that excludes the later Books 1 (Bāla) and 7 (Uttara). Goldman/Brockington date the core no later than 6th/5th c. BCE; constituted critical text reaches form by the early centuries CE.	True	Current median (93 CE) is ~240y later than the consensus core midpoint (~-150), placing this core book in the early CE. Core stratum; should shift earlier toward 5th/4th c. BCE.
SA_GE09_ram_05_u	Rāmāyaṇa: 5. Sundarakāṇḍa	111	5th/4th c. BCE onward, present form by early centuries CE (old core, Book 5)	-400	200	medium	John Brockington, The Sanskrit Epics (1998) — Sundarakāṇḍa is among the five central books (2–6) classed as the stage-2 'original core'; Goldman/Sutherland (Princeton Rāmāyaṇa, Vol. 5 Sundarakāṇḍa): core composed by ~500 BCE, not later than 5th/6th c. BCE	https://en.wikipedia.org/wiki/Ramayana	Sundarakāṇḍa is one of the five core kāṇḍas (2–6) constituting the oldest layer of the epic, where Rāma is portrayed as a human prince; clearly earlier than the deifying Bāla (1) and Uttara (7) kāṇḍas (later additions, 1st c. BCE–3rd c. CE). Baroda critical edition (Jhala 1966).	True	Current median (111 CE) too late for a core book; Brockington/Goldman place the core stratum chiefly in the BCE range. Consensus midpoint ~100 BCE; off by >75y.
SA_GE09_ram_07_u	Rāmāyaṇa: 7. Uttarakāṇḍa	190	1st c. BCE - 3rd c. CE (latest addition, Book 7)	-100	300	high	J. L. Brockington, 'The Sanskrit Epics' (1998); R. Goldman & S. Sutherland Goldman, Princeton Rāmāyaṇa Vol. VII Uttarakāṇḍa (2017)	https://press.princeton.edu/books/hardcover/9780691168845/the-ramayana-of-valmiki-an-epic-of-ancient-india-volume-vii	LATEST addition together with Book 1; assigned by Brockington to his stage 3, demonstrably later than the core Books 2-6 (~5th/4th c. BCE) on linguistic, stylistic and narrative grounds (Sītā's banishment, Śambūka episode, Rāma's full divinity). Goldman & Goldman's Princeton introduction treats it as a late, post-core continuation appended to the poem.	True	Current median 190 CE is at the late edge of the consensus; the late-addition stratum centers ~1st c. CE. Dating the Baroda critical-edition Uttarakāṇḍa stratum, not an ur-epic.
