id	title	current_median	consensus_date	nb	na	confidence	basis	source_file	recension_note	flag_off	note
SA_K01_n2900u	Maṃjuśrīpārājikā [Mañjuśrīpārājikā]	563	post-12th c. CE (late-medieval Newar Vajrayāna ritual text)	1200	1700	low	David Gellner, 'Introduction: Newar Buddhist ritualism' (in P. Williams ed., Buddhism: Critical Concepts vol. 6); text quoted within the Newar Jana Jīvan Kriyā Paddhati (Kathmandu 1962)	cleaned_Buddhism. Critical Concepts in Religious - Volume 6_Paul Williams.txt	Not an early Indian sūtra/vinaya despite the 'pārājikā' in the title. The Mañjuśrīpārājikā is a Newar Buddhist tantric ritual text cited (alongside the Saṃvaratantra) in Newar Vajrayāna saṃskāra/life-cycle ritual manuals (jātakarma, śrāddha, etc.). The surviving Sanskrit/DSBC text belongs to the late-medieval-to-modern Nepalese (Newar) Vajrayāna tradition, which presupposes the Saṃvara/Yoginī tantras (post-10th c.) and the developed Newar ritual system. No library source dates this specific text; range reflects the Newar Vajrayāna ritual horizon.	True	Newar Vajrayāna lifecycle-ritual text, not an early vinaya; cur_med 563 far too early.
SA_K01_n2904u	Lokeśvarapārājikā	747	Newar (Nepalese-tradition) composition, no scholarly anchor	1000	1700	none	Locke, Karunamaya (1980) — text edited there; cult dating: Lévi/Locke-derived notes in library	cleaned_Szántó_Siddhas.txt	Obscure Newar Buddhist text printed only in the appendix to John Locke's 1980 study of the Avalokiteśvara/Matsyendranātha (Karuṇāmaya = Bunga-dyo) cult of the Kathmandu Valley. The library has no scholarship dating this specific text; it belongs to the medieval/late-medieval Newar liturgical-legendary tradition of the Karuṇāmaya cult (the cult itself placed from c. 10th c. onward). Our DSBC Sanskrit text is the Newar-recension text, not an Indian original; no firm date can be assigned, so bounds are wide and confidence none.	False	Newar cult text; cur_med 747 is an unsupported guess but no sourced date available to correct it to a high/medium value
SA_K01_n2954u	Upasampadājñapti	325	4th-5th c. CE (extant Mūlasarvāstivāda-vinaya Sanskrit recension)	300	450	medium	E. Frauwallner, Earliest Vinaya (1956); G. Schopen, Bones, Stones and Buddhist Monks (1997)	cleaned_Bones, Stones and Buddhist Monks..Archaeology, Epigraphy and Texts of Monastic Buddhism in India_Gregory Schopen, 1997.txt	Ordination (upasampadā) formulary excerpted from the Mūlasarvāstivāda-vinaya. Frauwallner traces an old Mathurā core, but the enormously expanded MSV-vinaya was known to the Mahāprajñāpāramitopadeśa (Chinese ~402-406 CE), and Schopen notes the surviving Sanskrit witnesses are no earlier than the 5th c. (Gilgit MSS later). Date the developed Sanskrit recension, not the early core.	False	MSV-vinaya ordination text; tightened to 4th-5th c.; cur_med 325 within 75y.
SA_K01_n742u	Bhikṣuṇīvinaya	62	1st-5th c. CE (BHS Ārya-Mahāsāṃghika-Lokottaravādin recension; composed in the period of, and resembling, the Mahāvastu)	1	500	medium	Nolot, Règles de discipline des nonnes bouddhistes (1991); edition: Roth, Bhikṣuṇī-Vinaya (1970)	cleaned_Regles de Discipline des Nonnes Bouddhistes_Edith Nolot, 1991.txt	Same Roth (1970) Ārya-Mahāsāṃghika-Lokottaravādin recension as bhivin_u (duplicate work-item). Nolot dates the text by analogy with the Mahāvastu to the 1st-5th c. CE; sole manuscript palaeographically not later than 11th-12th c. Date is for the BHS Lokottaravādin recension, not the older pre-sectarian disciplinary core. Midpoint ~250 CE.	True	cur_med 62 at the early edge; Nolot's 1st-5th-c. span centers ~250 CE, >75y later. Duplicate of bhivin_u.
SA_K01_prmosu_u	Prātimokṣasūtra	128	Sarvāstivāda canonical recension, fixed by the early centuries CE; c. 1st c. BCE - 2nd c. CE (Turfan Sanskrit witnesses are later copies)	-100	200	medium	Frauwallner, The Earliest Vinaya (1956); Prebish, A Survey of Vinaya Literature (1994); von Simson's Turfan edition	cleaned_Earliest Vinaya and the Beginnings of Buddhist Literature_Frauwallner, 1956.txt	Unlike the Mahāyāna sūtras here, the Prātimokṣa is a canonical Vinaya recitation text whose Sarvāstivāda recension was stabilized early (verse core near the second council per Frauwallner; the school's redaction by the early centuries CE). Von Simson 1986/2000 edits the Sarvāstivāda recension from the Turfan Sanskrit manuscripts (Central Asian copies, palaeographically 5th-8th c.), but these witness the much older fixed canonical recension. Date = the Sarvāstivāda recension, not the manuscript copies. (Title note 'Mūlasarvāstivāda' is loose; the edition is the Sarvāstivāda Prātimokṣa.)	False	cur_med ~128 lies within the defensible Sarvāstivāda-recension window; kept.
SA_K01_prmosubu	Prātimokṣasūtra (Mūlasarvāstivāda)	132	6th c. CE (finalization of the Mūlasarvāstivāda Sanskrit recension; Gilgit MS in Gupta script 5th-6th c.)	475	600	high	Prebish, Buddhist Monastic Discipline: The Sanskrit Prātimokṣa Sūtras of the Mahāsāṃghikas and Mūlasarvāstivādins, 1975/1996-2002	cleaned_Buddhist Monastic Discipline. Sanskrit Pratimoksa Sutras of Mahasamghikas and Mulasarvastivadins_Charles S. Prebish, 1996-2002.txt	Banerjee's edition (our text) is based on the Gilgit birch-bark manuscript, written in Gupta characters of the 5th-6th c. CE. Although the Prātimokṣa as a genre goes back to the early Sangha (the rule-list is far older), Prebish dates the FINALIZATION of this specific Mūlasarvāstivāda Sanskrit recension to the later end of AD 100-600, i.e. c. 6th c., because the school-name Mūlasarvāstivādin is not attested before the 7th c. and the manuscript itself is 5th-6th c. The earlier-layer rule list must NOT be used to date this recension early.	True	Gilgit Mūlasarvāstivāda recension finalized c. 6th c. CE per Prebish; cur_med 132 too early by ~400y.
SA_K01_prmosufu	Prātimokṣasūtra	108	ca. 6th c. CE (Gilgit Sarvāstivāda/Mūlasarvāstivāda Sanskrit recension)	475	600	high	Emms, 'Evidence for two Mūlasarvāstivādin Vinaya Traditions in the Gilgit Prātimokṣa-Sūtras' (2012), citing Wille and Banerjee; ed. Lokesh Chandra 1960 (Gilgit fragment)	cleaned_Evidence for two Mulasarvastivadin Vinaya Traditions in the Gilgit Pratimoksa-Sutras_Christopher Emms, 2012.txt	The Prātimokṣa code as such is among the very oldest Buddhist texts, but our edition is Lokesh Chandra's GILGIT fragment, i.e. the Sarvāstivāda/Mūlasarvāstivāda Sanskrit recension preserved in the Gilgit MSS (Gilgit/Bāmiyān Type II script, 6th-10th c.; Banerjee's MS 5th-6th c.). Emms dates the Gilgit prātimokṣa material to ~6th c. CE. Date this Gilgit Sanskrit recension, not the early disciplinary core.	True	Median 108 (range -200 to 300) dates the early Vinaya layer; the extant Gilgit Sanskrit recension is ~6th c. CE. Off by >75y, corrected with high confidence per Emms 2012.
SA_K01_prmosulu	Prātimokṣasūtra (Lokottaravāda-Mahāsāṅghika)	143	1st c. BCE - 1st c. CE (final compilation of the Mahāsāṃghika-Lokottaravāda Sanskrit recension)	-100	100	high	Prebish, Buddhist Monastic Discipline: The Sanskrit Prātimokṣa Sūtras of the Mahāsāṃghikas and Mūlasarvāstivādins, 1975/1996-2002 (recension also in Tatia 1976)	cleaned_Buddhist Monastic Discipline. Sanskrit Pratimoksa Sutras of Mahasamghikas and Mulasarvastivadins_Charles S. Prebish, 1996-2002.txt	Tatia's edition (our text) is the Lokottaravāda-Mahāsāṅghika Prātimokṣa, the same Prakrit-cum-quasi-Sanskrit recension Prebish treats; its final compilation is fixed to 1st c. BCE-1st c. CE by the Mathurā-inscription language parallels. Hirakawa notes the companion Mahāsāṃghika-Lokottaravāda manuscripts (Roth) are 11th-12th c. physical copies, but the recension's wording dates to the turn of the era. Dated to the recension, not the late manuscript.	True	Lokottaravāda-Mahāsāṅghika recension 1st c. BCE-1st c. CE per Prebish; MSS are 11th-12th c.; cur_med 143 too late by ~140y.
SA_K01_upsmpjnu	Upasaṃpadājñapti	326	4th-5th c. CE (extant Mūlasarvāstivāda-vinaya Sanskrit recension)	300	450	medium	E. Frauwallner, Earliest Vinaya (1956); G. Schopen, Bones, Stones and Buddhist Monks (1997)	cleaned_Bones, Stones and Buddhist Monks..Archaeology, Epigraphy and Texts of Monastic Buddhism in India_Gregory Schopen, 1997.txt	Duplicate (DSBC/Chung-Jinananda) of the MSV-vinaya ordination formulary. Old Mathurā core (Frauwallner), but the expanded MSV-vinaya is attested only from ~early 5th c. (Mahāprajñāpāramitopadeśa, Chinese 402-406) and our Sanskrit MSS no earlier than the 5th c. (Schopen). Date the developed Sanskrit recension.	False	Same text as n2954u; 4th-5th c.; cur_med 326 within range.
SA_K01_vinsutru	Vinayasūtra	601	7th c. CE	600	700	medium	Nakamura, Indian Buddhism (1980): Guṇaprabha later than Sthiramati	cleaned_Indian Buddhism. A Survey With Bibliographical Notes_Hajime Nakamura, 1980.txt	The Vinayasūtra is Guṇaprabha's original Mūlasarvāstivāda summa, edited from Tibetan-Sanskrit MSS (Sāṅkṛtyāyana 1981). Being an authored śāstra it has no earlier sūtra layer; its date is the author's floruit. Guṇaprabha is placed after Sthiramati (mid-6th c.), hence 7th c. CE. Current median 601 is at the early edge but within range.	False	Guṇaprabha post-Sthiramati = 7th c.; root sūtra (not commentary); current 601 acceptable.
SA_K01_vinv01_u	Pravrajyāvastu (Mūlasarvāstivāda Vinaya)	311	3rd-5th c. CE (Mūlasarvāstivāda-vinaya redaction; extant Sanskrit on Turfan/Gilgit fragments)	250	450	medium	Bass, Meditation in an Indian Buddhist Monastic Code (2013); Schopen, Bones, Stones and Buddhist Monks (1997)	cleaned_Meditation in an Indian Buddhist Monastic Code_Jeffrey W Bass, 2013_.txt	The Mūlasarvāstivāda-vinaya as we have it is a large, late-redacted code; Schopen/Bass place its full redaction in the early-to-mid first millennium CE (commonly 3rd-5th c., Kuṣāṇa-Gupta). Our Pravrajyāvastu is reconstructed from Sanskrit Turfan fragments (Vogel & Wille) plus the Gilgit MSS; these witnesses are 5th-7th c., consistent with a redaction of the text c. 3rd-5th c. CE rather than any early canonical layer.	False	cur_med 311 sits inside the 3rd-5th-c. MSV redaction window; not flagged.
SA_K01_vinv02_u	Poṣadhavastu (Mūlasarvāstivāda Vinaya)	516	4th-5th c. CE (Mūlasarvāstivāda-vinaya compilation; ed. from Gilgit MSS)	300	500	medium	Lamotte, History of Indian Buddhism p. 657 (compilation of the MSV Vinaya in the 4th-5th c.), as cited in the library	cleaned_Divine Stories  Divyavadana, Part 2_Andy Rotman, 2017.txt	The Poṣadhavastu is a chapter of the large Mūlasarvāstivāda-vinaya. Although some sections quote earlier (even pre-5th c.) material and the broad redaction may begin earlier, Lamotte dates the compilation of this fully-developed MSV Vinaya to the 4th-5th c.; Hu-von Hinüber's 1994 edition rests on the Gilgit manuscripts (6th-7th c. copies). Date here is the 4th-5th-c. recension represented by the Gilgit text, not the much older common Vinaya stock.	True	FLAG: cur_med 516 too late by >75y; Lamotte places MSV compilation 4th-5th c. (midpoint ~400). Corrected to 300-500.
SA_K01_vinv03_u	Pravāraṇāvastu	328	4th-5th c. CE (extant Mūlasarvāstivāda-vinaya Sanskrit recension)	300	450	medium	E. Frauwallner, Earliest Vinaya (1956); G. Schopen, Bones, Stones and Buddhist Monks (1997)	cleaned_Bones, Stones and Buddhist Monks..Archaeology, Epigraphy and Texts of Monastic Buddhism in India_Gregory Schopen, 1997.txt	The Pravāraṇā-vastu of the MSV-vinaya (Chung's edition). Has Sarvāstivādin/Pāli parallels for the rite's old core, but our text is the expanded MSV recension attested from ~early 5th c. (Mahāprajñāpāramitopadeśa) with Sanskrit witnesses no earlier than the 5th c. (Schopen). Date the developed Sanskrit recension, not the canonical prototype.	False	MSV-vinaya vastu; 4th-5th c.; cur_med 328 within range.
SA_K01_vinv05_u	Carmavastu	397	4th-6th c. CE (Gilgit MSS recension of the Mūlasarvāstivāda-vinaya)	350	600	medium	Schopen, Buddhist Monks and Business Matters (2004)	cleaned_Buddhist Monks and Business Matters. Still More Papers on Monastic Buddhism in India (Ch.I-IV)_Gregory Schopen, 2004.txt	Our text is the Carmavastu of the Mūlasarvāstivāda-vinayavastu in Dutt's edition of the Gilgit MSS. Although the MSV contains much early material (Schopen, Bones Stones), its redaction is 'late', set by Schopen between the mature Kuṣāṇa period and the 5th-6th c. CE; the Gilgit codex itself was copied c. 6th-7th c. We date the extant Gilgit Sanskrit recension, not the early narrative layers.	False	Schopen 'early medieval' redaction; cur_med 397 within range
SA_K01_vinv06_u	Bhaiṣajyavastu	241	2nd-3rd c. CE (Kuṣāṇa-period redaction of the Mūlasarvāstivāda-vinaya; Gilgit Sanskrit MS itself 5th-6th c.)	100	250	medium	Schopen, Hierarchy and Housing... Śayanāsanavastu (2000); Cabezón (2017) summarizing Schopen's Encyclopedia of Buddhism entry	cleaned_Hierarchy and Housing in a Buddbist Monastic Code. Tr. of Sayanasanavastu of Mulasarvastivada-vinaya.  Part 1_Gregory Schopen, 2000.txt	The Bhaiṣajyavastu is a vastu of the Mūlasarvāstivāda-vinaya. Schopen's consensus: the MSV was redacted in the Northwest (Gandhāra-Mathurā) in the Kuṣāṇa period, i.e. roughly 1st-3rd c. CE (Cabezón 2017: 'first or second century of the Common Era'), explicitly rejecting Lamotte's late 4th-5th c. dating. The MSV nonetheless contains material of varied date. Our edition is Dutt's Gilgit Manuscripts vol. III: the extant Gilgit Sanskrit MS is itself c. 5th-6th c., but it transmits the Kuṣāṇa-period redacted recension, which is what is dated here.	False	MSV redaction = Kuṣāṇa period (Schopen); Gilgit MS later. Current median 241 within Kuṣāṇa range; no flag.
SA_K01_vinv07_u	Cīvaravastu	321	4th-5th c. CE (extant Mūlasarvāstivāda-vinaya recension, Gilgit MSS)	300	499	medium	Schopen via Vogel, cited in French & Nathan (eds.), Buddhism and Law: An Introduction (2014); Schopen, Bones, Stones and Buddhist Monks (1997) on the Cīvaravastu	cleaned_Buddhism and Law. An Introduction_Rebecca Redwood French, Mark A. Nathan, eds., 2014_a.txt	Cīvaravastu of the MSV, edited by N. Dutt from the Gilgit MSS; Schopen treats its rules (e.g. on monastic property/funerals) as MSV-specific developments. The extant Sanskrit recension was redactionally closed in the 4th-5th c. CE; date the recension, not the earlier institutional layer.	False	MSV vastu; cur_med 321 within 4th-5th c. band
SA_K01_vinv08_u	Kaṭhinavastu	321	4th-5th c. CE (extant Mūlasarvāstivāda-vinaya recension, Turfan/Gilgit Sanskrit)	300	499	medium	Schopen via Vogel, cited in French & Nathan (eds.), Buddhism and Law: An Introduction (2014); Kun Chang (1957) for the MSV recension being the fullest	cleaned_Buddhism and Law. An Introduction_Rebecca Redwood French, Mark A. Nathan, eds., 2014_a.txt	Matsumura's edition is the Sanskrit MSV Kaṭhinavastu (Turfan/Gilgit material). Pāli and other-school Kaṭhinavastus are parallels, not our text; the MSV version is the most developed (Kun Chang 1957) and was redactionally closed only in the 4th-5th c. CE. Date the Sanskrit MSV recension, not the earlier shared disciplinary tradition.	False	MSV vastu; cur_med 321 within 4th-5th c. band
SA_K01_vinv09_u	Kośāmbakavastu	260	4th-5th c. CE (Mūlasarvāstivāda-vinaya compilation)	350	450	medium	Lamotte, History of Indian Buddhism, p.657 (cited in Shaw 2006)	cleaned_Buddhist Goddesses of India_Mirenda Shaw, 2006.txt	A vastu of the Mūlasarvāstivāda-vinaya. Earlier narrative layers (Pāli Kosambaka-khandhaka parallels) are centuries older, but the extant Sanskrit MSV recension — the Gilgit MS edited by Dutt — represents the compiled MSV vinaya that Lamotte dates to the 4th-5th c. CE; the Gilgit MSS themselves are 6th-7th c. Date the MSV recension, not the early khandhaka layer.	True	cur_med 260 too early; MSV vinaya compiled 4th-5th c. CE (~400). Corrected to 350-450.
SA_K01_vinv10_u	Karmavastu	313	4th-5th c. CE (extant Mūlasarvāstivāda-vinaya recension, Gilgit MSS)	300	499	medium	Schopen via Vogel, cited in French & Nathan (eds.), Buddhism and Law: An Introduction (2014)	cleaned_Buddhism and Law. An Introduction_Rebecca Redwood French, Mark A. Nathan, eds., 2014_a.txt	Karmavastu is a vastu of the MSV, edited by N. Dutt from the Gilgit MSS. Earlier institutional content reflects Kuṣāṇa norms, but the extant Sanskrit recension was redactionally closed only in the 4th-5th c. CE (Vogel's calendar argument); date the recension, not the earliest layer.	False	MSV vastu; cur_med 313 within 4th-5th c. band
SA_K01_vinv11_u	Pāṇḍulohitakavastu	320	4th-5th c. CE (extant Mūlasarvāstivāda-vinaya recension, Gilgit MSS)	300	499	medium	Schopen via Vogel, cited in French & Nathan (eds.), Buddhism and Law: An Introduction (2014)	cleaned_Buddhism and Law. An Introduction_Rebecca Redwood French, Mark A. Nathan, eds., 2014_a.txt	Pāṇḍulohitakavastu of the MSV (Yamagiwa 2001 re-edition of the Gilgit Sanskrit MS). Institutional content may reflect earlier (Kuṣāṇa) practice, but the extant Sanskrit recension was redactionally closed in the 4th-5th c. CE; date the recension, not the earliest disciplinary layer.	False	MSV vastu; cur_med 320 within 4th-5th c. band
SA_K01_vinv12_u	Pudgalavastu	311	4th-5th c. CE (extant Mūlasarvāstivāda-vinaya recension, Gilgit MSS)	300	499	medium	Schopen via Vogel, cited in French & Nathan (eds.), Buddhism and Law: An Introduction (2014)	cleaned_Buddhism and Law. An Introduction_Rebecca Redwood French, Mark A. Nathan, eds., 2014_a.txt	Pudgalavastu is a vastu of the Mūlasarvāstivāda-vinaya, edited by N. Dutt from the Gilgit MSS (physical MSS ~6th-7th c.). While the MSV preserves Kuṣāṇa-period (1st-2nd c.) institutional data, Vogel's lunisolar-calendar argument shows the text was not redactionally closed before the 4th-5th c. CE; date the extant Sanskrit recension to that close, not the earlier institutional layer.	False	MSV vastu; redactional close 4th-5th c.; cur_med 311 within band
SA_K01_vinv13_u	Pārivāsikavastu	655	4th-5th c. CE redaction (Mūlasarvāstivāda-vinaya; Gilgit recension 6th-7th c.)	300	500	medium	Lamotte, Histoire du bouddhisme indien, p. 727, quoted by Schopen, Bones, Stones and Buddhist Monks (1997)	cleaned_Bones, Stones and Buddhist Monks..Archaeology, Epigraphy and Texts of Monastic Buddhism in India_Gregory Schopen, 1997.txt	Vastu of the Mūlasarvāstivāda-vinaya. Lamotte dates the MSV's present form no earlier than the 4th-5th c. CE (Kaniṣka prediction; Chinese translation only in the 8th c.), though Schopen stresses it contains much earlier material. OUR edition is Dutt's Gilgit Manuscripts (vol. III.3): the physical Gilgit MSS are themselves c. 6th-7th c. (some 5th-6th). I anchor the date to the MSV literary redaction (4th-5th c.); the surviving Gilgit recension is later, not the early disciplinary layer.	False	MSV redaction 4th-5th c. (Lamotte); Gilgit MS 6th-7th c. cur_med 655 = Gilgit-MS horizon, within bound of textual transmission; not >75y off the recension we have.
