type	arg1	arg2	arg3	note
anchor	SA_T01_Mātṛceṭa_Varṇārhavarṇastotra_Szántó	50	200	[medium] Varṇārhavarṇa (Mātṛceṭa c.1st–2nd c.; Hartmann ed., Schlingloff)
anchor	SA_T01_Mātṛceṭa_Ekottarikastotra_Szántó	50	250	[low] Ekottarikastotra (ascr. Mātṛceṭa, c.1st–3rd c.; Hartmann, Szántó)
anchor	SA_T01_Rāhulabhadra_Nirvikalpastuti_Szántó	100	300	[low] Nirvikalpastuti/Prajñāpāramitāstotra (Rāhulabhadra, assoc. Nāgārjuna 2nd–3rd c.)
anchor	SA_T01_Jñānayaśas_Jātakastava_Szántó	400	700	[low] Jātakastava (Jñānayaśas, Skt. compos. ~6th–7th c.; Enc. Iranica, de Jong)
anchor	SA_T01_Vasudhārā_Buddhastotra_Szántó	100	700	[low] Buddhastotra (Vasudhārā, obscure; undated 1st-mill. hymn, Szántó)
anchor	SA_T01_Śaṃkarasvāmin_Devātiśayastotra_Szántó	100	400	[low] Devātiśayastotra (Śaṃkarasvāmin; Tāranātha 2nd c.–Phāṇigiri 4th c., Schneider 2014)
anchor	SA_T01_Rādhasvāmin_Viśeṣastava_Szántó	100	600	[low] Viśeṣastava (Rādhasvāmin; early Buddhist Skt hymn, ante 9th-c. Tib. tr.; Schneider/Liu)
anchor	SA_T01_anon_Saptajinastava_Szántó	100	800	[low] Saptajinastava (anon; undatable, broad 1st-mill. hymn corpus, Szántó)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch1_Szántó	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Szántó)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch11_Szántó	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Szántó)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch12_Szántó	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Szántó)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch14_Szántó	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Szántó)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch15_Szántó	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Szántó)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch16_Szántó	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Szántó)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch20_Szántó	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Szántó)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch22_Szántó	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Szántó)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch24_Szántó	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Szántó)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch25_Yamano_2007	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Yamano)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch27_Szántó	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Szántó)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch29_Tsuda_1976	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch30_Cicuzza_2001	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Cicuzza)
anchor	SA_K12_Āgama_Saṃvarodayatantra-ch32_Szántó	875	1050	[medium] Saṃvarodaya (Cakrasaṃvara explanatory Yoginītantra; Tsuda 1974, Szántó)
anchor	SA_K12_Āgama_Laghuśamvaratantra	750	850	[high] Laghuśaṃvara/Cakrasaṃvara mūlatantra root (Gray 2007; Sanderson 2009)
anchor	SA_K12_Āgama_Sarvabuddhasamāyogaḍākinījālaśaṃvara_Szántó	675	750	[medium] earliest Yoginītantra, in Amoghavajra 746 index (Sanderson; Szántó & Griffiths 2015)
anchor	SA_K12_Āgama_Caturyoginīsampuṭa_Szántó	950	1075	[low] Caturyoginīsampuṭa, Sampuṭa-cluster explanatory tantra (Szántó)
anchor	SA_K12_Āgama_Sampuṭatilaka_Szántó	950	1075	[low] Sampuṭatilaka, Sampuṭa-cycle (attrib. Kṛṣṇācārya per Tāranātha; Szántó)
anchor	SA_K12_Āgama_Sampuṭodbhava_84000	950	1050	[medium] Sampuṭodbhava/Sampuṭa shared explanatory tantra, end 10th c. (Skorupski; 84000)
anchor	SA_K12_Āgama_Mahāmudrātilaka_Szántó	975	1075	[medium] Mahāmudrātilaka, Hevajra-cycle Yoginītantra, early 11th c. (Szántó)
anchor	SA_K12_Āgama_Vajraḍākatantra-selected-chs_Sugiki	950	1050	[medium] Vajraḍāka explanatory tantra, ~10th c., pre-Abhidhānottara (Sugiki)
anchor	SA_K12_Āgama_Yoginījālamahātantra-fragment_Szántó	850	1050	[low] Yoginījālamahātantra, late Yoginītantra cycle (Szántó)
anchor	SA_K12_Āgama_Yogāmbaratantra_Szántó	900	1075	[low] Yogāmbaratantra, late Saṃvara/Yoginītantra cycle text (Szántó)
anchor	SA_K12_Āgama_Buddhakapālatantra-ch9-14_Szántó	750	950	[medium] Buddhakapāla Yoginītantra, late 8th-9th c. (Luo Hong, Sanderson, Isaacson)
anchor	SA_K12_Āgama_Caṇḍamahāroṣaṇatantra-ch26-32_Szántó	950	1100	[medium] Caṇḍamahāroṣaṇa/Acala, 10th-11th c. (Wedemeyer; 84000 intro)
anchor	SA_K12_Āgama_Raktayamāritantra-diplomatic_Szántó	850	1000	[medium] Raktayamāri, Yamāri cycle 9th-10th c. (Sanderson 2009)
anchor	SA_K12_Āgama_Vajrāmṛtatantra_Szántó	800	950	[low] Vajrāmṛta, among earliest Yoginītantras 9th c. (Sferra, Szántó, Sanderson)
anchor	SA_K12_Āgama_Vajrārallitantra-testimonia_Szántó	800	1100	[low] Vajrāralli, obscure Yoginītantra, pre-Rigyaralli (Szántó)
anchor	SA_K12_Āgama_Bhūtaḍāmaratantra_Szántó	700	1000	[low] Bhūtaḍāmara kriyā/yoginī tantra, 7th/8th-10th c. (84000; Bühnemann)
anchor	SA_K12_Āgama_Ekajaṭākalpa_Szántó	750	1050	[low] Ekajaṭā/Tārā kalpa, attested late 9th-10th c. (Sādhanamālā tradition)
anchor	SA_K12_Āgama_Kurukullākalpa_Szántó	950	1100	[low] Kurukullā cycle, 10th-11th c., drawn from Hevajra (Sanderson)
anchor	SA_K12_Āgama_Kālacakrasekaprakriyā_Szántó	1025	1150	[high] Kālacakra initiation manual, post-1025 CE (Newman; Kālacakra epoch)
anchor	SA_K12_Āgama_Mahāvairocanābhisaṃbodhitantra-fragment_Szántó	640	700	[high] Mahāvairocana, mid-7th c., Chin. transl. 724 (Hodge, Giebel)
anchor	SA_K12_Āgama_Mañjuśriyamūlakalpa_Szántó	550	900	[medium] Mañjuśrīmūlakalpa, stratified: core 6th-7th, grows to 9th (Matsunaga, Sanderson)
anchor	SA_K12_Āgama_Bhagavatyāsvedāmbujāyā-yathālabdhatantrarāja-diplomatic_Szántó	800	1200	[low] Very obscure tantrarāja, no scholarly dating; wide guess (Szántó ed.)
anchor	SA_K12_Āgama_Amoghapāśahṛdaya_Szántó	520	587	[high] Amoghapāśahṛdaya; 1st Ch. transl. Jñānagupta 587 CE (Davidson, Hidas, Meisezahl)
anchor	SA_K12_Āgama_Amoghapāśakalparāja-ch1-7_Szántó	600	709	[high] Amoghapāśakalparāja; expanded, transl. Bodhiruci 707-709 CE (Hidas, Davidson)
anchor	SA_K12_Āgama_Amoghapāśakalparāja-editions1-4_Szántó	600	709	[high] Amoghapāśakalparāja; transl. Bodhiruci 707-709 CE (Hidas, Davidson)
anchor	SA_K12_Āgama_Adhyardhaśatikā-Prajñāpāramitā-Khotanese-ms_Szántó	600	663	[medium] 150-line PP/Nayasūtra; 1st Ch. Xuanzang 660-663 CE (Astley-Kristensen, Tomabechi)
anchor	SA_K12_Āgama_Nīlakaṇṭhadhāraṇī_Szántó	600	655	[high] Great Compassion dhāraṇī; transl. Bhagavaddharma c.650s (Lokesh Chandra)
anchor	SA_K12_Āgama_Uṣṇīṣavijayādhāraṇī_Yuyama	620	679	[high] Uṣṇīṣavijayā; first of 8 Ch. transl. 679 CE (Yuyama ed.; Buddhapālita/Divākara)
anchor	SA_K12_Āgama_Mahādaṇḍadhāraṇīśītavatī_Hidas	200	500	[medium] Śītavatī; Pañcarakṣā-adjacent proto-tantric, early 1st mill. (Hidas 2017 ed.)
anchor	SA_K12_Āgama_Māṇibhadradhāraṇī_Hidas	300	700	[low] Māṇibhadradhāraṇī; no firm date in Hidas 2021 catalogue — wide interval
anchor	SA_K12_Āgama_Mahāśrīnāmadvādaśaka_Hidas	300	800	[low] Twelve names of Mahāśrī; no firm Ch. transl. date (Hidas 2021) — wide
anchor	SA_K12_Āgama_Mahāsamājasūtra_Szántó	-200	200	[medium] Canonical sūtra = Pāli DN 20; Skt Dīrghāgama recension (Waldschmidt, Hartmann)
anchor	SA_K12_Āgama_Manasvināgarājasūtra_Szántó	300	600	[low] Nāga-king rain sūtra; cf. Meghasūtra genre 2nd-4th c. (Bendall, Hidas)
anchor	SA_K12_Āgama_Vajravidāraṇādhāraṇī_Szántó	600	812	[medium] Kriyā dhāraṇī; TAQ Tibetan imperial transl., Denkarma c.812 (no early Ch.)
anchor	SA_K12_Āgama_Sumukhā_Szántó	200	900	[low] Sumukhanāmadhāraṇī; Khotanese mss attest; no firm early Ch. transl. — wide
anchor	SA_K12_Āgama_Surūpādhāraṇī_Szántó	400	999	[low] Surūpā; Ch. transl. Faxian 989-999 CE (84000 Toh 540) — late TAQ only
anchor	SA_K12_Āgama_Sahasrāvartādhāraṇī_Szántó	300	653	[medium] Sahasrāvartā; Ch. transl. Zhitong, Tang c.650-653 CE — terminus ante quem
anchor	SA_K12_Āgama_Sarvakarmāvaraṇaviśodhanīdhāraṇī_Szántó	600	812	[low] Karma-purifying dhāraṇī; TAQ Tibetan transmission, Denkarma c.812 (Davidson)
anchor	SA_K12_Āgama_Dhvajāgrakeyūrādhāraṇī_Szántó	300	654	[medium] Dhvajāgrakeyūrā; Ch. transl. Xuanzang 654 CE (84000 Toh 612) — firm TAQ
anchor	SA_K12_Āgama_Mahādhāraṇī_Szántó	200	700	[low] Generic title in Hidas 2021 dhāraṇīsaṃgraha catalogue; no firm date — wide
anchor	SA_K12_Āgama_Puṣpakūṭanāmadhāraṇī-testimonia_Szántó	200	313	[medium] Puṣpakūṭa; early Ch. transl. T1356 (Zhi Qian/Dharmarakṣa era) — early TAQ
anchor	SA_K12_Āgama_Vasudhārādhāraṇī-NAK-1-1076_Szántó	600	655	[high] Vasudhārā wealth-goddess dhāraṇī; Ch. transl. Xuanzang 654/655 CE (T1162)
