id	title	current_median	consensus_date	nb	na	confidence	basis	source_file	note
SA_GR13_karatopu	Karatoyāmāhātmya	1191	None	None	None	none	no specialist dating found in library		A regional mahatmya glorifying the Karatoya river (N. Bengal), NOT a tantra. Library mentions the river (Encyclopedia of Tantra; Sanderson) but gives no date for this mahatmya text. Late, undatable from this library; no date asserted.
SA_GR13_kirtc_pu	Kiraṇatantra	685	early Śaiva Siddhānta scripture, c. 6th-8th c. CE	550	800	medium	Watson 2006, The Self's Awareness of Itself; Sanderson 2009, The Saiva Age	cleaned_Self's Awareness of Itself Bhatta Ramakantha's Arguments Against the Buddhist Doctrine of No-Self_Alex Watson, 2006.txt	Counted among the surviving EARLY Saiddhāntika scriptures (with Niśvāsa, Raurava, Svāyambhuva, Parākhya); pre-8th c., commented by Rāmakaṇṭha (10th c.). Confirms existing 500-799 bounds; consensus c. 6th-8th c. Little change from median.
SA_GR13_kirtm_pu	Kiraṇatantra	669	6th-7th c. CE (pre-8th c.)	500	700	high	Watson 2006 (citing Goodall 1998, ed. Kiranatantra/Kiranavrtti); Sanderson 2009, The Saiva Age	cleaned_Self's Awareness of Itself Bhatta Ramakantha's Arguments Against the Buddhist Doctrine of No-Self_Alex Watson, 2006.txt	Counted among the earliest surviving Saiva Siddhanta scriptures; predates its commentator Sadyojyotis (7th-8th c.), so 6th-7th c. Consistent with current median ~669 but better grounded. Distinguish the tantra from Ramakantha's 10th-c. Kiranavrtti commentary.
SA_GR13_kubjt_pu	Kubjikāmatatantra	946	10th–11th c. CE	900	1100	medium	Flood 2006, The Tantric Body; Sanderson 2009, The Śaiva Age (relative chronology)	cleaned_Tantric Body. The Secret Tradition of Hindu Religion_Gavin Flood, 2006.txt	Root scripture of the Western Transmission (Kaula). Sanderson places it after the Tantrasadbhāva (which is after the Svacchanda); Flood calls it 'eleventh-century' (elsewhere 'perhaps before the tenth century'). Range 10th–11th c. brackets the disagreement; current median ~946 lies within it.
SA_GR13_mabhedtu	Mātṛkābhedatantra	1244	None	None	None	none	no specialist dating found in library	cleaned_Kiss of the Yogini. Tantric Sex in its South Asian Contexts_David Gordon White, 2003.txt	Late Bengali Sakta/Kaula tantra. White (Kiss of the Yogini) only cites it for content (kundagolaka, menstrual-blood typology) and lists the edition; no date given. Generally regarded as a late (post-15th c.) Bengali tantra in scholarship, but no firm date in this library; none asserted.
SA_GR13_malinivu	Mālinīvijayottaratantra	794	8th-9th c. CE	700	900	medium	Sanderson, The Śaiva Age (relative chronology of the Trika); cf. Vasudeva ed.	cleaned_Tantric Body. The Secret Tradition of Hindu Religion_Gavin Flood, 2006.txt	Core Trika scripture; predates Abhinavagupta (c. 975-1025) who based the Tantrāloka on it. No single explicit century stated in-library, but Sanderson's relative chronology and Vasudeva's edition support 8th-9th c. Current bounds retained.
SA_GR13_mrgt1mpu	Mṛgendrāgama [Mṛgendratantra]: 1. Vidyāpāda	756	8th-9th c. CE	700	900	medium	Goodall 1998/2004 (Parākhya/Kiraṇavṛtti edition, skt-en-mono); Sanderson, The Śaiva Age	cleaned_skt-en-mono.txt	Śaiva Siddhānta scripture, grouped with the early Saiddhāntika canon (Sanderson) but among its latest members (Goodall): post-dates Sadyojyotis (c. 7th c.) and Somaśambhu. 8th-9th c. brackets the current median 756.
SA_GR13_mrgt3mpu	Mṛgendrāgama [Mṛgendratantra]: 3. Caryāpāda	837	8th c. CE	700	800	medium	Sanderson, The Śaiva Age (Mṛgendra among the early Saiddhāntika core corpus); Brunner-Lachaux 1985 ed.	cleaned_Sanderson_The Śaiva Age.txt	Caryāpāda of the Saiddhāntika scripture Mṛgendra; a developed (post-Kiraṇa) member of the early Siddhānta corpus, dated by specialists to ~8th c. Within cur bounds 700-999; midpoint near cur_med -> not changed (>100y).
SA_GR13_mrgt4mpu	Mṛgendrāgama [Mṛgendratantra]: 4. Yogapāda	799	8th c. CE	700	800	medium	Bühnemann 2003 (citing Hulin/Goodall); cf. Watson 2006	cleaned_Mandalas and Yantras in the Hindu Traditions_Gudrun Buhnemann 2003.txt	One of the few early surviving Śaiva Siddhānta scriptures, datable before the 9th c.; commentary (Mṛgendravṛtti) by Nārāyaṇakaṇṭha is 10th c. (Watson). Dated the WORK to 8th c. Median essentially unchanged.
SA_GR13_parakspu	Paraśurāma-Kalpasūtra	1471	None	None	None	none	only vague relative dating (N.N. Bhattacharyya 2006)	cleaned_History of the Tantric Religion An Historical, Ritualistic, and Philosophical Study_N. N. Bhattacharyya 2006.txt	Bhattacharyya only says it is 'earlier' than the Mahānirvāṇatantra (18th c.); no firm date and the sentence is corrupted in the OCR. Śrīvidyā ritual sūtra; retain current median (conventionally 15th-16th c.).
SA_GR13_pasupbhu	Pāśupatasūtra	485	ca. 4th-5th c. CE	300	500	medium	Jacobsen 2012, Yoga Powers; Potter 1977, Encyclopedia of Indian Philosophies Vol. 2	cleaned_Yoga Powers_Knut A. Jacobsen, 2012_a.txt	Duplicate of the Pāśupatasūtra (other recension/file). Kauṇḍinya commentary 5th c. CE; sūtra slightly earlier. Consistent with current median.
SA_GR13_pasupspu	Pāśupatasūtra	474	ca. 4th-5th c. CE	300	500	medium	Jacobsen 2012, Yoga Powers; Potter 1977, Encyclopedia of Indian Philosophies Vol. 2	cleaned_Yoga Powers_Knut A. Jacobsen, 2012_a.txt	Sūtra attributed to Lakulīśa; Kauṇḍinya's Pañcārthabhāṣya commentary fixed at 5th c. CE, so the sūtra is somewhat earlier (~4th-5th c.). Distinguish sūtra from commentary. Consistent with current median.
SA_GR13_purekaku	Ekākṣarakośa	1181	12th c. CE	1100	1200	low	Lal Mani Joshi, Studies in the Buddhistic Culture of India; Mylius, Geschichte der altindischen Literatur 2003	cleaned_Studies in the Buddhistic Culture of India_Lal Mani Josh.txt	NOT a tantra: Ekaksarakosa is a Sanskrit lexicon of monosyllabic words by the Bengali grammarian-lexicographer Purusottamadeva. Date is the author's, conventionally 12th c. (Mylius notes an earlier date is arguable from Buddhist vocab). Consistent with current median.
SA_GR13_saulahpu	Saundaryalaharī	950	None	None	None	none	Bharati 1965, Tantric Tradition (citing W. N. Brown, HOS 1958) — authorship only, no firm date in library	cleaned_Tantric Tradition_Agehananda Bharati, 1965.txt	Library unanimously rejects Śaṅkara authorship but gives no precise century; cannot ground a sourced date, so consensus_date=null
SA_GR13_sivmstpu	Śivamahimnastava	817	None	None	None	none	no specialist dating located		The only 'Puṣpadanta' in the library is the Jain Apabhraṃśa poet (Winternitz), a different person from the legendary author of this Śaiva hymn. No scholarly dating of the Śivamahimnastava found; not asserting a date. (Traditionally a popular Śaiva stotra, often placed loosely in the medieval period.)
SA_GR13_sivsutru	Śivasūtra	839	9th c. CE	800	900	medium	N.N. Bhattacharyya 2006, History of the Tantric Religion (placing Vasugupta in the 9th c.); standard specialist consensus (Sanderson) ca. 875-925	cleaned_History of the Tantric Religion An Historical, Ritualistic, and Philosophical Study_N. N. Bhattacharyya 2006.txt	Foundational text of Kashmir Śaivism, revealed to/composed by Vasugupta; commentaries (Kṣemarāja etc.) are 11th c.
SA_GR13_sivup_pu	Śiva-Upaniṣad	629	9th-13th c. CE	800	1300	low	White, Yoga in Practice (2012); library has only catalogue-level entries for the Śaiva/Yoga Upaniṣads	cleaned_White_Yoga in Practice.txt	No specialist dating of the Śiva-Upaniṣad itself in the library; it belongs to the late sectarian Śaiva/Yoga Upaniṣad corpus (N. Indian bracket 800-1300). Current median 629 too early; bracket adopted by analogy, hence low confidence.
SA_GR13_somsv_u	Śāktavijñāna	923	early-mid 10th c. CE (c. 900-950)	900	950	high	Watson 2006, The Self's Awareness of Itself (Somānanda c. 900-950); cf. Sanderson, Kashmirian Śākta Śaivas from Utpaladeva	cleaned_Self's Awareness of Itself Bhatta Ramakantha's Arguments Against the Buddhist Doctrine of No-Self_Alex Watson, 2006.txt	Founder of Pratyabhijñā / Kashmir Śaiva nondualism; c. 900-950 matches current median.
SA_GR13_sratrppu	Ratnatrayaparīkṣā	994	10th-early 11th c. CE	900	1025	high	Watson 2006 (following Goodall/Sanderson), Self's Awareness of Itself	cleaned_Self's Awareness of Itself Bhatta Ramakantha's Arguments Against the Buddhist Doctrine of No-Self_Alex Watson, 2006.txt	Śaiva Siddhānta work; Śrīkaṇṭha heads the 10th/early-11th c. Kashmiri exegetical lineage (predecessor of Nārāyaṇakaṇṭha/Rāmakaṇṭha, whose Kiraṇavṛtti lifts its maṅgala verse). No change.
SA_GR13_stkal_pu	Sārdhatriśatikālottarāgama	736	6th-8th c. CE	500	750	medium	Sanderson, The Śaiva Age (2009); Goodall 2007 ed. of Śatika-Kālottara; Watson 2006	cleaned_Sanderson_The Śaiva Age.txt	One of the short non-eclectic Kālottara recensions (350 vv.); among the early Śaiva Siddhānta scriptures, pre-Sadyojyotis (7th-8th c.), so before c. 750. Watson lists Kālottara among the surviving early scriptures.
SA_GR13_svact_pu	Svacchandatantra [Svacchandabhairavatantra]	734	8th-9th c. CE	700	900	medium	Sanderson, History through Textual Criticism; Sanderson, The Śaiva Age	cleaned_Sanderson_The Śaiva Age.txt	Mantrapīṭha Bhairava tantra (cult of Svacchanda-bhairava); attested in 9th/early-10th c. Nepalese palm-leaf mss and redacted after early Saiddhāntika Tantras, giving terminus ante quem in 9th c. Midpoint 800, within ~70y of current median.
SA_GR13_todaltpu	Toḍalatantra	963	11th c. CE or later (post-10th-c. east-Indian Śākta Mahāvidyā corpus)	1000	1300	medium	Kinsley 1998, Tantric Visions of the Divine Feminine; Sanderson 2009, The Saiva Age	cleaned_Tantric Visions of the Divine Feminine. The Ten Mahavidyas_DAVID KINSLEY, 1998.txt	Sanderson: 'The Todalatantra teaches the rites of these three [Mahavidyas] alone' within the late east-Indian Sakta corpus; Mahavidya group post-10th c., so lower bound raised above current 750.
SA_GR13_uddamt_u	Uḍḍāmareśvaratantra	1289	None	None	None	none	no specialist dating in library; only a bare title-list entry	cleaned_Encyclopedia of Tantra. 5 volumes_Sadhu Santideva, 1999.txt	Late-medieval magical/digest Tantra; library contains only a title-list occurrence and an unrelated lexical use of uddamara. No dated scholarship found; left null.
SA_GR13_utsivsau	Śivastotrāvalī	925	second/third quarter 10th c. CE	925	975	high	Sanderson, dating cited in skt-en-mono (Pratyabhijna corpus)	cleaned_skt-en-mono.txt	Devotional hymns by Utpaladeva (fl. c. 925-975); current median 925 essentially correct. Stotra, not a tantra.
SA_GR13_vinst_pu	Vīṇāśikhatantra	697	9th c. CE	800	900	medium	Sanderson 2009, The Śaiva Age; Goudriaan (ed.) cited in Niśvāsa/Davidson; Samuel 2008	cleaned_Sanderson_The Śaiva Age.txt	Sole surviving Vāmasrotas (Tumburu) Bhairavatantra of the Vidyāpīṭha; cited at Sdok Kak Thom by mid-11th c., so composition no later than ~9th-10th c. Goudriaan/Sanderson place it among the early Bhairavatantras. Kept ~9th c.; only modest shift from machine median 697.
SA_GR14_astavgpu	Aṣṭāvakragītā	1014	None	None	None	none	no specialist dating found in library		Late Advaita Vedānta dialogue, not a Tantric text. Library only has the unrelated Mahābhārata Aṣṭāvakra (Winternitz), no dating of the Gītā/Saṃhitā. No sourced consensus; left null. Scholarly estimates range widely (c. 8th-15th c.); current median 1014 lies within that band.
SA_GR14_bhrgus_u	Bhṛgu-Saṃhitā	571	uncertain (astrological treatise)	None	None	none	Revire 2016, Enthroned Buddha in Majesty	cleaned_Enthroned Buddha in Majesty. An Iconological Study_Nicolas Revire, 2016.txt	Src points to the ASTROLOGICAL Bhṛgu-Saṃhitā (jyotiṣa nāḍī text), explicitly 'of uncertain date' per Revire; not a Tantric/Pāñcarātra scripture despite GR14 collection. No reliable date; 6th-c. machine median unsupported.
SA_GR14_brhms5cu	Brahma-Saṃhitā: Adhyāya 5	1269	None	None	None	none	no specialist dating in library; only bare list/commentary references	cleaned_Encyclopedia of Tantra. 5 volumes_Sadhu Santideva, 1999.txt	Gaudiya Vaisnava text, the famous ch.5 'recovered' in Caitanya milieu (early 16th c.); library has only Jiva Gosvamin commentary references, no dated scholarship. Not a Saiva/Sakta tantra. No reliable date found.
SA_GR14_caitcanu	Caitanyacandrāmṛta	1541	16th c. CE	1500	1575	low	Authorship by Prabodhānanda Sarasvatī confirmed (Potter, Encyclopedia of Indian Philosophies); no precise dating quote in library	cleaned_Encyclopedia of Indian Philosophies, Vol. 1 - Potter.txt	Gauḍīya Vaiṣṇava devotional poem, NOT a tantra. Prabodhānanda Sarasvatī (Vṛndāvana, Caitanya circle), 16th c. Library only confirms authorship, no firm date; cur_med plausible.
SA_GR14_dhyggs_u	Gauragovindārcanasmaraṇapaddhati	870	None	None	None	none	no in-library scholarship		Gauḍīya Vaiṣṇava arcana/smaraṇa manual by Dhyānacandra Gosvāmī, an associate of the Six Goswamis of Vṛndāvana (16th-17th c.) — not a tantra and far later than median 870. No library source dates it; consensus_date left null to avoid fabrication.
SA_GR14_dhyrkk_u	Rādhākṛṣṇāṣṭakālīyalīlāsmaraṇakramapaddhati	1593	late 16th - early 17th c. CE	1550	1650	none	No source in library		Gauḍīya Vaiṣṇava smaraṇa-paddhati; Dhyānacandra was a disciple in the Gopāla Guru line, a generation+ after Caitanya (d. 1533). No library scholarship found; date is conventional only. Retained current median bounds.
SA_GR14_harinc_u	Harināmacintāmaṇi	750	1900 CE	1875	1925	medium	authorial attribution (Bhaktivinoda Ṭhākura, 1838-1914)	None	Modern Gauḍīya Vaiṣṇava devotional work (composed c.1900), NOT a tantric scripture. Misclassified/mis-dated; date from well-established author biography, not from library.
SA_GR14_hbhvil_u	Haribhaktivilāsa 1–11	1539	mid 16th c. CE	1530	1560	medium	Authorship (Gopāla Bhaṭṭa Gosvāmin, with Digdarśinī ṭīkā of Sanātana Gosvāmin) confirmed in Mallinson & Singleton 2017	cleaned_Roots of Yoga_James Mallinson, Mark Singleton, 2017.txt	Gauḍīya Vaiṣṇava ritual/smṛti digest, NOT a tantra. Mid-16th c. Vṛndāvana circle. No precise specialist date in library; cur_med consistent with authorship.
SA_GR14_jivrkadu	Rādhākṛṣṇārcanadīpikā	1566	1517-1608 CE (16th c.)	1517	1608	high	Freschi & Maas (eds.) 2017, Adaptive Reuse (Okita chapter)	cleaned_Freschi and Maas_Adaptive Reuse_Aspects of Creativity in South Asian Cultural History.txt	Gaudiya Vaisnava devotional manual (not tantric). Author Jiva Gosvami dated 1517-1608; matches machine median.
SA_GR14_jnass01u	Jñānāmṛtasāra-Saṃhitā [Nārada-Pañcarātra]	1450	early 16th c. CE	1500	1525	medium	Mylius, Geschichte der altindischen Literatur (2003/1983)	cleaned_Geschichte der altindischen Literatur_Klaus Mylius_2003 (1983).txt	Mylius: demonstrably composed at the beginning of the 16th c.; Kṛṣṇa-Rādhā focus. Slightly later than current median, within tolerance.
SA_GR14_kbss_1-u	Bhāvanāsārasaṃgraha	1842	None	1820	1880	none	No specialist dating found in reference-literature/		Not a tantra: a Gauḍīya Vaiṣṇava rāgānugā-bhakti sādhana manual by a post-Caitanya Siddha at Govardhana. Library discusses the rāgānugā/Vaiṣṇava-Sahajiyā milieu (White, Yoga in Practice; Urban 2001) but gives no date for this work or author. Retaining current 19th-c. bounds; consistent with a late post-Caitanya composition.
SA_GR14_krdipc_u	Kramadīpikā	1503	None	None	None	none	no specialist dating of Keśava's Tantric Kramadīpikā in library	cleaned_Encyclopedia of Indian Philosophies, Vol. 4 - Potter 1987.txt	Same work as item SA_MB_kramadipikaHK. Library's only Kramadīpikā dating is a different (Sāṃkhya) text; no source for Keśava's. Retain current median (Keśava fl. c.1500).
SA_GR14_kumukumu	Mukundamālā	995	9th-10th c. CE	800	1000	none	no specialist dating in library; only Buddhism-in-Kerala references to a king Kulaśekhara	cleaned_Buddhism in Kerala_P. C. Alexander, 1949.txt	Vaiṣṇava stotra (devotional, non-tantric), wrongly in this Śaiva batch. No specialist date found; kept broad Āḻvār-era range around current median.
SA_GR14_laghbh_u	Laghubhāgavatāmṛta	1550	16th c. CE	1500	1600	medium	Companion to World Philosophies (Deutsch & Bontekoe) 1999	cleaned_Companion to World Philosophies_Eliot Deutsch, Ron Bontekoe, 1999.txt	Gaudiya Vaisnava (not tantric). Rupa Gosvami explicitly a 16th-c. theologian and disciple of Caitanya; matches machine median.
SA_GR14_mdhvkmou	Kṛṣṇāmṛtamahārṇava	1257	13th c. CE (Madhva fl. 1238-1317)	1238	1317	medium	standard Madhva chronology (traditional dates 1238-1317)		NOT a tantra: a Vaisnava (Dvaita) devotional/dharmic compilation by Madhvacarya. No specialist dating of the work in this library, but it is securely an authentic work of Madhva, conventionally dated 1238-1317; current median 1257 falls within his lifetime and is retained.
SA_GR14_muktacau	Muktācarita	1545	16th c. CE	1500	1600	medium	Tantra in Practice (D.G. White, ed.) 2000; cf. Companion to World Philosophies 1999 (16th-c. Gaudiya theologians)	cleaned_Tantra in Practice_David Gordon White, ed, 2000_a.txt	Gaudiya Vaisnava (not tantric). Raghunathadasa is one of the six Gosvamins of Vrndavana, direct disciples of Caitanya (16th-c. Bengali Krsna mystic); 16th-c. dating confirmed.
SA_GR14_prakassu	Prakāśa-Saṃhitā [Pāñcarātra-Saṃhitā]	846	None	None	None	none	no specialist dating found in library		Pāñcarātra saṃhitā; library (Rastelli/Czerniak corpus absent) has no dated discussion of a Prakāśasaṃhitā. No date assigned to avoid inventing one.
SA_GR14_ps27-43u	Pauṣkara-Saṃhitā	573	9th-10th c. CE (latest of the early Pāñcarātra saṃhitās)	800	1000	medium	Sanderson 2009, The Śaiva Age	cleaned_Sanderson_The Śaiva Age.txt	Pāñcarātra Pauṣkara-saṃhitā. Sanderson: among the seven relatively old saṃhitās, the Sātvata and Pauṣkara are the latest; the Sātvata group is 'very unlikely to have been produced before the ninth century', so Pauṣkara ~9th-10th c. Far later than machine median 573.
SA_GR14_ruphbr_u	Haribhaktirasāmṛtasindhu	1537	early-mid 16th c. CE	1530	1555	medium	Authorship by Rūpa Gosvāmī (Gauḍīya Vaiṣṇava Vṛndāvana circle) confirmed; no precise dating quote in library	cleaned_Freschi and Maas_Adaptive Reuse_Aspects of Creativity in South Asian Cultural History.txt	Gauḍīya Vaiṣṇava bhakti-rasa treatise, NOT a tantra. Rūpa Gosvāmī fl. c. 1530s-1550s (Caitanya circle). Library has no specialist date; cur_med agrees with established authorship period.
SA_GR14_sadhdipu	Sādhanādīpikā	1623	17th c. CE	1600	1700	none	no dating found in library; only an edition bibliography entry (Krishnadasababa ed.)	cleaned_Rituell praktik_Chakra, 4, 2005.txt	Gaudiya Vaisnava ritual manual, not strictly Tantric; author tied to Gadadhara's lineage (17th c.). No specialist dating in library; kept ~17th c. range consistent with current median.
SA_GR14_satvtanu	Sātvatatantra	671	9th-10th c. CE	800	1000	high	Sanderson 2009, The Saiva Age	cleaned_Sanderson_The Śaiva Age.txt	Satvata(samhita), a foundational Pancaratra scripture, re-dated LATER by Sanderson: not before the 9th c. and among the latest of the early Pancaratra texts (so 9th-10th c.). Much later than the current median 671; major change.
SA_GR14_sdahen_u	Daśavidhahetunirūpaṇa	847	17th–18th c. CE	1600	1800	low	Potter, Encyclopedia of Indian Philosophies vol. 1 (places Śrīnivāsa Dīkṣita / Śrīviśiṣṭādvaitabhāṣya among late post-Deśika Viśiṣṭādvaitins)	cleaned_Encyclopedia of Indian Philosophies, Vol. 1 - Potter.txt	NOT a tantra: a Viśiṣṭādvaita śāstra defending Pāñcarātra authority (ten arguments), by the late Śrīviśiṣṭādvaitabhāṣya author Śrīnivāsa Dīkṣita, a post-Vedāntadeśika (16th–18th c.) Viśiṣṭādvaitin. No firm library date; midpoint ~1700 differs >100y from current 847.
SA_GR14_ss1_tatu	Ṣaṭsandarbha: 1. Tattvasandarbha	1566	later 16th c. CE	1550	1600	medium	Standard Gauḍīya chronology (Jīva Gosvāmī c. 1517–1608); no text-specific dating in library	None	Gauḍīya Vaiṣṇava theological digest, not a tantra. Jīva Gosvāmī flourished mid-to-late 16th c.; Tattvasandarbha is the first of the Ṣaṭsandarbha. Library has no specialist dating; date is the established consensus. Matches current median.
SA_GR14_ss2_bhgu	Ṣaṭsandarbha: 2. Bhāgavatasandarbha	1567	later 16th c. CE	1550	1600	medium	Standard Gauḍīya chronology (Jīva Gosvāmī c. 1517–1608); no text-specific dating in library	None	Gauḍīya Vaiṣṇava theological work, not a tantra. Bhagavat(a)sandarbha is the 2nd Sandarbha. No specialist library source; established consensus date retained. Matches current median.
SA_GR14_ss3_paru	Ṣaṭsandarbha: 3. Paramātmasandarbha	1570	later 16th c. CE	1550	1600	medium	Standard Gauḍīya chronology (Jīva Gosvāmī c. 1517–1608); no text-specific dating in library	None	Gauḍīya Vaiṣṇava work, not a tantra. 3rd Sandarbha (Paramātmasandarbha). No specialist library source; established consensus retained. Matches current median.
SA_GR14_ss4_krsu	Ṣaṭsandarbha: 4. Kṛṣṇasandarbha	1569	later 16th c. CE	1550	1600	medium	Standard Gauḍīya chronology (Jīva Gosvāmī c. 1517–1608); no text-specific dating in library	None	Gauḍīya Vaiṣṇava work, not a tantra. 4th Sandarbha (Kṛṣṇasandarbha). No specialist library source; established consensus retained. Matches current median.
SA_GR14_ss5_bhku	Ṣaṭsandarbha: 5. Bhaktisandarbha	1558	1517-1608 CE (16th c.)	1517	1608	high	Freschi & Maas (eds.) 2017, Adaptive Reuse (Okita chapter)	cleaned_Freschi and Maas_Adaptive Reuse_Aspects of Creativity in South Asian Cultural History.txt	Gaudiya Vaisnava (not tantric). Same author Jiva Gosvami, dated 1517-1608; matches machine median.
SA_GR14_ss6_priu	Ṣaṭsandarbha: 6. Prītisandarbha	1558	1517-1608 CE (16th c.)	1517	1608	high	Freschi & Maas (eds.) 2017, Adaptive Reuse (Okita chapter)	cleaned_Freschi and Maas_Adaptive Reuse_Aspects of Creativity in South Asian Cultural History.txt	Gaudiya Vaisnava (not tantric). Jiva dated 1517-1608 by specialist scholarship; matches machine median.
SA_GR14_utajp_pu	Ajaḍapramātṛsiddhi	924	2nd-3rd quarter 10th c. CE (fl. c. 925-975)	925	975	high	Sanderson 2009, The Śaiva Age (Utpaladeva fl. c. 925-975)	cleaned_Sanderson_The Śaiva Age.txt	One of Utpaladeva's three Siddhi tracts; same floruit c. 925-975.
SA_GR14_vaimp__u	Vaikhānasamantrapraśna	394	ca. 4th c. CE	300	500	low	Bronkhorst 2011, Buddhism in the Shadow of Brahmanism (Vaikhānasa Gṛhya/sūtra corpus); Alper 1989, Understanding Mantras	cleaned_Buddhism in the Shadow of Brahmanism_Johannes Bronkhorst, 2011.txt	Mantrapraśna is the most archaic (mantra) layer of the Vaikhānasa corpus; library has no precise specialist date for it, only general placement of the para-vedic Vaikhānasa sūtra material. Kept near current median, low confidence.
SA_GR14_vdhapadu	Viṣṇudharma	381	4th-6th c. CE	300	600	low	Eliot 1921, Hinduism and Buddhism Vol. 2 (general Puranic dating; no specialist statement on the Viṣṇudharma itself in library)	cleaned_Hinduism and Buddhism,  Historical Sketch, Vol  2_Charles Eliot, 1921.txt	Viṣṇudharma (a Vaiṣṇava upapurāṇa, distinct from the later Viṣṇudharmottara) cited only in passing; no recent specialist date in library. Range follows general early-Puranic (Gupta) horizon; broadly consistent with current median.
