type	arg1	arg2	arg3	note
anchor	SA_GP10_bhp_05u	800	1000	[high] Bhāgavata-Purāṇa 10 (Rocher; Bryant; Hardy, Viraha-Bhakti)
anchor	SA_GP10_bhp_06u	800	1000	[high] Bhāgavata-Purāṇa 10 (Rocher; Bryant; Hardy, Viraha-Bhakti)
anchor	SA_GP10_bhp_04u	800	1000	[high] Bhāgavata-Purāṇa 10 (Rocher; Bryant; Hardy, Viraha-Bhakti)
anchor	SA_GP10_bhp_08u	800	1000	[high] Bhāgavata-Purāṇa 10 (Rocher; Bryant; Hardy, Viraha-Bhakti)
anchor	SA_GP10_bhp_12u	800	1000	[high] Bhāgavata-Purāṇa 10 (Rocher; Bryant; Hardy, Viraha-Bhakti)
anchor	SA_GP10_bhp_09u	800	1000	[high] Bhāgavata-Purāṇa 10 (Rocher; Bryant; Hardy, Viraha-Bhakti)
anchor	SA_GP10_bhp_03u	800	1000	[high] Bhāgavata-Purāṇa 10 (Rocher; Bryant; Hardy, Viraha-Bhakti)
anchor	SA_GP10_bhp_10u	800	1000	[high] Bhāgavata-Purāṇa 10 (Rocher; Bryant; Hardy, Viraha-Bhakti)
anchor	SA_GP10_bhp_02u	800	1000	[high] Bhāgavata-Purāṇa 10 (Rocher; Bryant; Hardy, Viraha-Bhakti)
anchor	SA_GP10_bhp_07u	800	1000	[high] Bhāgavata-Purāṇa 10 (Rocher; Bryant; Hardy, Viraha-Bhakti)
anchor	SA_GP10_bhp_11u	800	1000	[high] Bhāgavata-Purāṇa 10 (Rocher; Bryant; Hardy, Viraha-Bhakti)
anchor	SA_GP10_bhpc101u	800	1000	[high] Bhāgavata-Purāṇa 10 (Rocher; Bryant; Hardy, Viraha-Bhakti)
anchor	SA_MB_iisaanasivagurudevapaddhati4HK	1050	1200	[medium] īśānaśivagurudeva: īśānaśivaguru (Wisdomlib study; quotes King Bhoja (11)
anchor	SA_MB_isaanagurudevapaddhati-II-HK	1050	1200	[medium] īśānaśivagurudeva: īśānaśivaguru (Wisdomlib study; quotes King Bhoja (11)
anchor	SA_MB_Isaanapaddhati-I-HK	1050	1200	[medium] īśānaśivagurudeva: īśānaśivaguru (Wisdomlib study; quotes King Bhoja (11)
anchor	SA_MB_iisaanagurudevapaddhati-III-HK	1050	1200	[medium] īśānaśivagurudeva: īśānaśivaguru (Wisdomlib study; quotes King Bhoja (11)
anchor	SA_GP11_brahmppu	600	1300	[low] Brahma-Purāṇa (Rocher, The Purāṇas; Schreiner)
anchor	SA_MB_IPVV_3_hk	1000	1020	[high] abhinavagupta: īśvarapratyabhijñ (Sanderson; Torella, Pratyabhijñā studi)
anchor	SA_MB_IPVV_2_hk	1000	1020	[high] abhinavagupta: īśvarapratyabhijñ (Sanderson; Torella, Pratyabhijñā studi)
anchor	SA_MB_IPVV_1_hk	1000	1020	[high] abhinavagupta: īśvarapratyabhijñ (Sanderson; Torella, Pratyabhijñā studi)
anchor	SA_GSP29_nysvbh_u	-150	250	[medium] Nyāyasūtra (Potter, Encyclopedia of Indian Philoso)
anchor	SA_GSP29_gaunys_u	-150	250	[medium] Nyāyasūtra (Potter, Encyclopedia of Indian Philoso)
anchor	SA_GSP29_nysu51pu	-150	250	[medium] Nyāyasūtra (Potter, Encyclopedia of Indian Philoso)
anchor	SA_GSP29_nystik_u	-150	250	[medium] Nyāyasūtra (Potter, Encyclopedia of Indian Philoso)
anchor	SA_MB_srividyarnavatantramHK	1300	1599	[low] śrīvidyāraṇyayati: śrīvidyārṇava (Goudriaan/Bühnemann; manasataramgini)
anchor	SA_GP12_brndp1_u	300	1000	[medium] Brahmāṇḍa-Purāṇa 2 (Rocher; Doniger (Wikipedia))
anchor	SA_GP12_brndp2_u	300	1000	[medium] Brahmāṇḍa-Purāṇa 2 (Rocher; Doniger (Wikipedia))
anchor	SA_GP12_brndp3_u	300	1000	[medium] Brahmāṇḍa-Purāṇa 2 (Rocher; Doniger (Wikipedia))
anchor	SA_GE07_mbh_03_u	-400	400	[high] Mahābhārata: Āraṇyakaparvan (Winternitz; Brockington (Wikipedia))
anchor	SA_GSP27_yogva	900	1400	[medium] Yogavasiṣṭha (Slaje; Hanneder (Mokṣopāya project))
anchor	SA_K14_mhvastuu	-200	400	[high] Mahāvastu-avadāna (Wikipedia; standard Buddhist studies c)
anchor	SA_GE07_mbh_13_u	-400	400	[high] Mahābhārata: Anuśāsanaparvan (Winternitz; Brockington (Wikipedia))
anchor	SA_GE07_bhgce__u	1	400	[high] Hellwig 2019 neural dating: whole Gita = Mbh 6.23-40, layered (Hellwig 2019)
anchor	SA_GE07_bhg4c08u	100	300	[high] Hellwig 2019 neural dating: 6.30 framing, LATE: 2nd/3rd c CE
anchor	SA_GE07_bhg4c11u	1	200	[high] Hellwig 2019 neural dating: 6.33 central bhakti core, EARLIER (~1st-2nd c CE)
anchor	SA_GE07_bhg4c14u	200	400	[high] Hellwig 2019 neural dating: 6.36 framing, LATE: 3rd/4th c CE
anchor	SA_GE07_bhg4c10u	1	200	[high] Hellwig 2019 neural dating: 6.32 central bhakti core, EARLIER (~1st-2nd c CE)
anchor	SA_GE07_bhg4c16u	200	400	[high] Hellwig 2019 neural dating: 6.38 framing, LATE: 3rd/4th c CE
anchor	SA_GE07_bhg4c04u	100	300	[high] Hellwig 2019 neural dating: 6.26 framing, LATE: 2nd/3rd c CE
anchor	SA_GE07_bhg4c17u	200	400	[high] Hellwig 2019 neural dating: 6.39 framing, LATE: 3rd/4th c CE
anchor	SA_GE07_bhg4c01u	1	200	[high] Hellwig 2019 neural dating: 6.23 labelled EARLY by ranker; early intro adhyaya
anchor	SA_GE07_bhg4c07u	100	300	[high] Hellwig 2019 neural dating: 6.29 framing, LATE: 2nd/3rd c CE
anchor	SA_GE07_bhg4c09u	100	300	[high] Hellwig 2019 neural dating: 6.31 framing, LATE: 2nd/3rd c CE
anchor	SA_GE07_bhg4c05u	100	300	[high] Hellwig 2019 neural dating: 6.27 framing, LATE: 2nd/3rd c CE
anchor	SA_GE07_bhg4c12u	1	200	[high] Hellwig 2019 neural dating: 6.34 central bhakti core, EARLIER (~1st-2nd c CE)
anchor	SA_GE07_bhg4c03u	1	200	[high] Hellwig 2019 neural dating: 6.25 early section (between early 6.23 and late 6.26+)
anchor	SA_GE07_bhg4c06u	100	300	[high] Hellwig 2019 neural dating: 6.28 framing, LATE: 2nd/3rd c CE
anchor	SA_GE07_bhg4c15u	200	400	[high] Hellwig 2019 neural dating: 6.37 framing, LATE: 3rd/4th c CE
anchor	SA_GE07_bhg4c02u	1	200	[high] Hellwig 2019 neural dating: 6.24 early section (between early 6.23 and late 6.26+)
anchor	SA_GE07_bhg4c18u	200	400	[high] Hellwig 2019 neural dating: 6.40 framing, LATE: 3rd/4th c CE
anchor	SA_GE07_mbh_01_u	-400	400	[high] Mahābhārata: Ādiparvan (Winternitz; Brockington (Wikipedia))
anchor	SA_GSP29_vytrkt3u	1480	1539	[high] Tarkatāṇḍava: Pariccheda 1 (Wikipedia; Williams (IJHS))
anchor	SA_GSP29_vytrkt2u	1480	1539	[high] Tarkatāṇḍava: Pariccheda 1 (Wikipedia; Williams (IJHS))
anchor	SA_GSP29_vytrkt1u	1480	1539	[high] Tarkatāṇḍava: Pariccheda 1 (Wikipedia; Williams (IJHS))
anchor	SA_GSD36_sa_vijJAnezvara-mitAkSarA	1075	1125	[high] Mitākṣarā (Kane; Derrett (Wikipedia))
anchor	SA_GE07_hv_apppu	-100	500	[medium] Harivaṃśa (appendix) (Wikipedia; Ingalls/Masson; Hazra)
anchor	SA_MB_brhattantrasaaraHK	1550	1600	[high] kṛṣṇānanda āgamavāgiśa: brhattan (Wikipedia; Goudriaan-Gupta)
anchor	SA_GP12_garup	700	1100	[medium] Garuḍa-Purāṇa (Dalal; Pintchman; Leadbeater (Wikipedi)
anchor	SA_GP12_garup2_u	700	1100	[medium] Garuḍa-Purāṇa (Dalal; Pintchman; Leadbeater (Wikipedi)
anchor	SA_GP12_garup3_u	700	1100	[medium] Garuḍa-Purāṇa (Dalal; Pintchman; Leadbeater (Wikipedi)
anchor	SA_K10_divyav_u	100	500	[medium] Divyāvadāna (Wikipedia; Mūlasarvāstivāda studies)
anchor	SA_GE07_mbh_07_u	-400	400	[high] Mahābhārata: Droṇaparvan (Winternitz; Brockington (Wikipedia))
anchor	SA_MB_kulamuktikalloliniHK	1650	1703	[medium] navamīsiṃha: kulamuktikallolinī (Nepalese tantric studies; manuscript c)
anchor	SA_MB_SriikarabhaashyacombinedHK	1350	1450	[medium] śrīpati: śrīkarabhāṣya (Dasgupta, History of Indian Philosophy)
anchor	SA_MB_IPV_HK	990	1015	[high] abhinavagupta: īśvarapratyabhijñ (Wikipedia; Pandey, Bhāskarī)
anchor	SA_GSD36_mitaksara	1075	1126	[high] Mitākṣarā, a commentary on the Y (Wikipedia; P.V. Kane)
anchor	SA_MB_kriyaasaara2HK	1300	1499	[low] nīlakaṇṭha: kriyāsāra volume 2 (Vīraśaiva scholarship (Nīlakaṇṭha Śivā)
anchor	SA_MB_kriyasaraHK	1300	1499	[low] nīlakaṇṭha: kriyāsāra volume 2 (Vīraśaiva scholarship (Nīlakaṇṭha Śivā)
anchor	SA_T11_kgpramv	750	850	[medium] Pramāṇavārttikavṛtti Commentary (Buddhist epistemology scholarship (EAS)
anchor	SA_GP12_lip_1_pu	400	1000	[medium] Liṅga-Purāṇa 1 (Wikipedia; Puranic studies)
anchor	SA_GP12_lip_2__u	400	1000	[medium] Liṅga-Purāṇa 1 (Wikipedia; Puranic studies)
anchor	SA_MB_TantracintamaniHK	1680	1703	[medium] navamīsiṃha: tantracintāmaṇi (Nepalese tantric manuscript scholarshi)
anchor	SA_GK21_brkas_pu	600	899	[medium] Bṛhatkathāślokasaṃgraha (Wikipedia; Britannica (Budhasvāmin))
anchor	SA_K01_vinv171u	100	400	[medium] Saṅghabhedavastu 2 (Gnoli, Schopen (Mūlasarvāstivāda Vinay)
anchor	SA_K01_vinv172u	100	400	[medium] Saṅghabhedavastu 2 (Gnoli, Schopen (Mūlasarvāstivāda Vinay)
anchor	SA_GP12_mtp176pu	200	600	[medium] Matsya-Purāṇa (Wikipedia; Doniger; Kane)
anchor	SA_GE07_hv_conpu	-100	400	[medium] Harivaṃśa (Wikipedia; Bhattacharyya; Hazra)
anchor	SA_GSP33_vacbhamu	840	980	[high] Bhāmatī (Wikipedia; Vedānta scholarship (Vācasp)
anchor	SA_GE09_ram_02su	-400	200	[medium] Rāmāyaṇa: 2. Ayodhyākāṇḍa (Pollock (Princeton crit. ed.); Wikiped)
anchor	SA_GE09_ram_02_u	-400	200	[medium] Rāmāyaṇa: 2. Ayodhyākāṇḍa (Pollock (Princeton crit. ed.); Wikiped)
anchor	SA_GSP28_jsbh1-1u	1600	1665	[high] Bhāṭṭadīpikā: Adhyāya 1, Adhikar (Mīmāṃsā scholarship (Khaṇḍadeva))
anchor	SA_GSP28_jsbh2-4u	1600	1665	[high] Bhāṭṭadīpikā: Adhyāya 1, Adhikar (Mīmāṃsā scholarship (Khaṇḍadeva))
anchor	SA_GSP28_jsbh3-2u	1600	1665	[high] Bhāṭṭadīpikā: Adhyāya 1, Adhikar (Mīmāṃsā scholarship (Khaṇḍadeva))
anchor	SA_GSP28_jsbh2-3u	1600	1665	[high] Bhāṭṭadīpikā: Adhyāya 1, Adhikar (Mīmāṃsā scholarship (Khaṇḍadeva))
anchor	SA_GSP28_jsbh2-2u	1600	1665	[high] Bhāṭṭadīpikā: Adhyāya 1, Adhikar (Mīmāṃsā scholarship (Khaṇḍadeva))
anchor	SA_GSP28_jsbh3-1u	1600	1665	[high] Bhāṭṭadīpikā: Adhyāya 1, Adhikar (Mīmāṃsā scholarship (Khaṇḍadeva))
anchor	SA_GSP28_jsbh1-2u	1600	1665	[high] Bhāṭṭadīpikā: Adhyāya 1, Adhikar (Mīmāṃsā scholarship (Khaṇḍadeva))
anchor	SA_GSP28_jsbh1-4u	1600	1665	[high] Bhāṭṭadīpikā: Adhyāya 1, Adhikar (Mīmāṃsā scholarship (Khaṇḍadeva))
anchor	SA_GSP28_jsbh1-3u	1600	1665	[high] Bhāṭṭadīpikā: Adhyāya 1, Adhikar (Mīmāṃsā scholarship (Khaṇḍadeva))
anchor	SA_GSP28_jsbh2-1u	1600	1665	[high] Bhāṭṭadīpikā: Adhyāya 1, Adhikar (Mīmāṃsā scholarship (Khaṇḍadeva))
anchor	SA_GR14_vdhapadu	200	500	[low] Viṣṇudharma (Grünendahl ed. (Viṣṇudharmāḥ); Upapurā)
anchor	SA_GP12_vprevk_u	1000	1100	[medium] Revākhaṇḍa of the Vāyupurāṇa (Purāṇa Bulletin; Ballālasena's Dānasāg)
anchor	SA_K01_bhivin_u	-200	200	[low] Bhikṣuṇīvinaya (G. Roth ed.; Mahāsāṃghika-Lokottaravād)
anchor	SA_K01_n742u	-200	200	[low] Bhikṣuṇīvinaya (G. Roth ed.; Mahāsāṃghika-Lokottaravād)
anchor	SA_GE07_mbh_05_u	-300	400	[high] Mahābhārata: Udyogaparvan (Wikipedia (Mahabharata); Brockington/H)
anchor	SA_GE07_mbh_08_u	-300	400	[high] Mahābhārata: Karṇaparvan (book 8 (Wikipedia (Mahabharata); standard Indo)
anchor	SA_GE07_mbh_06_u	-300	400	[high] Mahābhārata: Bhīṣmaparvan (Wikipedia (Mahabharata); standard Indo)
anchor	SA_K09_bsu016_u	100	400	[medium] Gaṇḍavyūhasūtra (Wikipedia (Gandavyuha); Britannica)
anchor	SA_GV06_keskaupu	900	1399	[medium] Kauśikapaddhati (Keśava) (Wisdomlib / Atharvaveda ancillary lite)
anchor	SA_GSP30_mabhai	1000	1500	[low] Manthanabhairava Tantra (Kubjika (Dyczkowski (ed.); Goudriaan & Schoterm)
anchor	SA_GK19_gp01-11u	1513	1598	[high] Gopālacampū (Jīva Gosvāmī) (Wikipedia (Jiva Goswami); Gaudiya Vais)
anchor	SA_GK19_gp23-33u	1513	1598	[high] Gopālacampū (Jīva Gosvāmī) (Wikipedia (Jiva Goswami); Gaudiya Vais)
anchor	SA_GK19_gp12-22u	1513	1598	[high] Gopālacampū (Jīva Gosvāmī) (Wikipedia (Jiva Goswami); Gaudiya Vais)
anchor	SA_GP12_skprevku	600	1200	[low] Skanda-Purāṇa: Revākhaṇḍa (Wikipedia (Skanda Purana); Adriaensen/)
anchor	SA_K03_pvspl_u	100	300	[medium] Pañcaviṃśatisāhasrikā Prajñāpāra (Wikipedia (Large Prajnaparamita Sutras)
anchor	SA_K03_pspdut2u	100	300	[medium] Pañcaviṃśatisāhasrikā Prajñāpāra (Wikipedia (Large Prajnaparamita Sutras)
anchor	SA_GS40_anandk_u	1200	1499	[medium] Ānandakanda (Meulenbeld HIML; rasashastra scholarsh)
anchor	SA_MB_taaraabhaktisudhaarnavaHK	1600	1699	[low] narasiṃhaṭhakkura: tārābhaktisud (Wisdomlib (Tara in Hinduism); Tara tan)
anchor	SA_GSP33_vesa	1425	1475	[high] Vedāntasāra (Sadānanda) (Wikipedia (Vedantasara of Sadananda))
anchor	SA_T11_prpva	750	899	[high] Pramāṇavārttikālaṃkāra (Prajñāka (Wikipedia (Prajnakaragupta); Eli Franc)
anchor	SA_T11_jnaniva	975	1025	[medium] Nibandhāvali (Jñānaśrīmitra) (Wikipedia (Jnanasrimitra); Thakur ed. )
anchor	SA_K10_avsata_u	100	400	[medium] Avadānaśataka (Wikipedia (Avadanasataka); Encyclopedi)
anchor	SA_MB_saaktapramodaHK	1800	1899	[high] Śāktapramoda (Devanandana Singh) (Madhu Khanna ed.; DK Printworld; Exoti)
anchor	SA_MB_KulavrttiHK	1550	1600	[low] Kulavṛtti (Pūrṇānanda) (Wisdomlib (Swami Purnananda); Bengal T)
anchor	SA_GP12_kurmp2_u	550	850	[medium] Kūrma-Purāṇa (Indological consensus (Hazra; Rocher, )
anchor	SA_GP12_kurmp1_u	550	850	[medium] Kūrma-Purāṇa (Indological consensus (Hazra; Rocher, )
anchor	SA_GR14_hbhvil_u	1530	1560	[high] Haribhaktivilāsa 1–11 (Brill ed. (Haribhaktivilāsa of Sanātan)
anchor	SA_GP12_visnup_u	300	500	[medium] Viṣṇu-Purāṇa (Rocher, The Puranas; Hazra)
anchor	SA_GP12_vampsm_u	450	900	[low] Vāmana-Purāṇa (Hazra; Rocher, The Puranas)
anchor	SA_GP12_vamp__u	450	900	[low] Vāmana-Purāṇa (Hazra; Rocher, The Puranas)
anchor	SA_MB_jnaanaratnaavaliiHK	1100	1199	[high] jñānaśiva: jñānaratnāvalī (Goodall, 'A note on damanotsava... the)
anchor	SA_K05_bsu049_u	-100	100	[high] Aṣṭasāhasrikā Prajñāpāramitā (Conze; Wikipedia (Aṣṭasāhasrikā Prajñā)
anchor	SA_MB_pranotisini_6_HK	1820	1821	[high] rāmatoṣaṇa compiler: prāṇatoṣiṇī (Standard accounts (wisdomlib; tantra s)
anchor	SA_MB_sriitatvanidhiHK	1800	1868	[high] kṛṣṇarāja vodeyar: śrītattvanidh (Wikipedia (Sritattvanidhi); University)
anchor	SA_T09_ajm_u	300	399	[high] Jātakamālā (Khoroche (Once the Buddha Was a Monkey)
anchor	SA_T09_bsa032	300	399	[high] Jātakamālā (Khoroche (Once the Buddha Was a Monkey)
anchor	SA_T09_gopjatmu	300	399	[high] Jātakamālā (Khoroche (Once the Buddha Was a Monkey)
anchor	SA_GSP33_m_mbhtnu	1238	1317	[high] Mahābhāratatātparyanirṇaya (Wikipedia (Madhvacharya / Mahabharata )
anchor	SA_MB_sadhanamala1IHK	600	1100	[medium] benoytosh bhattacharya: sādhanam (B. Bhattacharyya ed.; Britannica (Sādh)
anchor	SA_MB_saadhanamaalaa-IIHK	600	1100	[medium] benoytosh bhattacharya: sādhanam (B. Bhattacharyya ed.; Britannica (Sādh)
anchor	SA_GK22_vispancu	-100	300	[medium] Pañcatantra (Edgerton; Olivelle (Pañcatantra transl)
anchor	SA_GK22_vispancu_e	-100	300	[medium] Pañcatantra (Edgerton; Olivelle (Pañcatantra transl)
anchor	SA_GE07_mbh_02_u	-400	400	[high] Mahābhārata: Sabhāparvan (Brockington, The Sanskrit Epics; van B)
anchor	SA_GSP28_tantrava	620	700	[high] Mīmāṃsāsūtra Tantravarttika (SEP (Kumārila); Wikipedia (Kumārila Bh)
anchor	SA_MB_Sritattvacintamani_11-15_HK	1577	1577	[high] pūrṇānanda: tattvacintāmaṇi (Avalon/Woodroffe (Serpent Power intro))
anchor	SA_MB_Sritattvacintamani_1-5_HK	1577	1577	[high] pūrṇānanda: tattvacintāmaṇi (Avalon/Woodroffe (Serpent Power intro))
anchor	SA_K03_psp_1u	100	400	[medium] Pañcaviṃśatisāhasrikā Prajñāpāra (Conze; Wikipedia (Prajñāpāramitā))
anchor	SA_GE07_mbh_04_u	-400	400	[high] Mahābhārata: Virāṭaparvan (Brockington, The Sanskrit Epics; van B)
anchor	SA_GSP33_mbrahsiu	660	720	[high] Brahmasiddhi (Wikipedia (Maṇḍana Miśra); Thrasher, A)
anchor	SA_GSP33_brasi	660	720	[high] Brahmasiddhi (Wikipedia (Maṇḍana Miśra); Thrasher, A)
anchor	SA_GSP33_brasusau	700	750	[high] Brahmasūtra (Śaṅkarabhāṣya) (Wikipedia (Adi Shankara))
anchor	SA_GK16_ruyalssu	1100	1175	[high] Alaṅkārasarvasva (Wikisdomlib / scholarship on Ruyyaka)
anchor	SA_GK16_ruyalscu	1100	1175	[high] Alaṅkārasarvasva (Wikisdomlib / scholarship on Ruyyaka)
anchor	SA_GK16_ruyalsvu	1100	1175	[high] Alaṅkārasarvasva (Wikisdomlib / scholarship on Ruyyaka)
anchor	SA_GE07_mbh_14_u	-300	400	[medium] Mahābhārata: Aśvamedhikaparvan (Wikipedia / Britannica (Mahabharata co)
anchor	SA_GP12_mkp1-93u	200	700	[medium] Mārkaṇḍeya-Purāṇa (Wikipedia (Markandeya Purana); wisdoml)
anchor	SA_K01_vinsutru	500	699	[medium] Vinayasūtra (Encyclopedia of Buddhism; JIABS articl)
anchor	SA_K01_bsu058_u	500	699	[medium] Vinayasūtra (Encyclopedia of Buddhism; JIABS articl)
anchor	SA_T03_bsa051_u	970	1050	[high] Sāratamā (āryāṣṭasāhasrikāyāḥ pr (Cambridge BSOAS (Āloka and Sāratamā st)
anchor	SA_GSP28_shabara	200	500	[medium] Mīmāṃsāsūtra Shabara-Bhāṣya (Wikipedia (Śabara); Oxford Reference)
anchor	SA_K10_bsu034_u	100	600	[medium] Samādhirājasūtra (Wikipedia (Samadhiraja Sutra); Encyclo)
anchor	SA_K10_srajsgiu	100	600	[medium] Samādhirājasūtra (Wikipedia (Samadhiraja Sutra); Encyclo)
anchor	SA_GR14_ss5_bhku	1550	1575	[high] Ṣaṭsandarbha: 5. Bhaktisandarbha (Wikipedia (Sat Sandarbhas); Brzezinski)
anchor	SA_GR14_ss6_priu	1550	1575	[high] Ṣaṭsandarbha: 6. Prītisandarbha (Wikipedia (Sat Sandarbhas); Brzezinski)
anchor	SA_MB_pauskarvrttiHK	1550	1620	[medium] jñānaprakāśācārya: pauṣkaravṛtti (OCHS lecture; academia.edu (Śālivāṭi J)
anchor	SA_GK21_karaka	1595	1605	[high] Kathāratnākara (Hertel translation; National Library o)
anchor	SA_MB_sidhaantasikhaamaniHK	1100	1500	[low] śivayogiśivācārya: siddhāntaśikh (Wikipedia (Siddhanta Shikhamani); wisd)
anchor	SA_GK16_simhrsku	1300	1350	[high] Rasārṇavasudhākara (Wikipedia (Recherla Nayakas); wisdomli)
anchor	SA_GK16_simhrs_u	1300	1350	[high] Rasārṇavasudhākara (Wikipedia (Recherla Nayakas); wisdomli)
anchor	SA_K10_bsu022_u	1	300	[medium] Lalitavistara (Lalitavistarasūtr (Wikipedia (Lalitavistara); Encyclopedi)
anchor	SA_GS40_vrasrs_u	1200	1350	[medium] Rasaratnasamuccaya (Wikipedia (Rasaratna Samuchaya); wisdo)
